Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Hackney and City of London,373 (142 -- 907),Unsure,0.94 (0.57 -- 1.4),-0.016 (-0.13 -- 0.11),-44 (6.1 -- -5.5)
Halton,109 (60 -- 199),Unsure,1.3 (1.1 -- 1.7),0.089 (0.017 -- 0.17),7.8 (4 -- 41)
Hammersmith and Fulham,102 (29 -- 377),Unsure,0.78 (0.37 -- 1.6),-0.064 (-0.2 -- 0.16),-11 (4.4 -- -3.5)
Hampshire,1400 (620 -- 3487),Unsure,1.3 (0.84 -- 2),0.07 (-0.044 -- 0.25),9.9 (2.8 -- -16)
Haringey,480 (229 -- 876),Unsure,1 (0.74 -- 1.3),0.01 (-0.076 -- 0.09),66 (7.7 -- -9.1)
Harrow,532 (273 -- 1056),Unsure,1.2 (0.86 -- 1.6),0.045 (-0.04 -- 0.15),15 (4.5 -- -17)
Hartlepool,165 (70 -- 539),Unsure,1.4 (0.93 -- 2.4),0.1 (-0.019 -- 0.34),6.9 (2 -- -37)
Havering,322 (128 -- 827),Unsure,0.83 (0.51 -- 1.4),-0.047 (-0.15 -- 0.094),-15 (7.3 -- -4.7)
"Herefordshire, County of",48 (10 -- 252),Unsure,0.85 (0.34 -- 2.1),-0.042 (-0.21 -- 0.26),-17 (2.6 -- -3.3)
Hertfordshire,1655 (852 -- 3155),Unsure,1.1 (0.76 -- 1.5),0.016 (-0.068 -- 0.12),45 (5.9 -- -10)
Highland,8 (4 -- 26),Unsure,1 (0.83 -- 1.4),0.0056 (-0.049 -- 0.096),120 (7.2 -- -14)
Hillingdon,424 (198 -- 874),Unsure,0.98 (0.66 -- 1.4),-0.0062 (-0.098 -- 0.1),-110 (6.9 -- -7)
Hounslow,367 (157 -- 785),Unsure,0.98 (0.63 -- 1.4),-0.0047 (-0.11 -- 0.1),-150 (6.7 -- -6.4)
Inverclyde,9 (3 -- 27),Unsure,1 (0.76 -- 1.4),0.003 (-0.068 -- 0.1),230 (6.8 -- -10)
Isle of Anglesey,20 (4 -- 195),Unsure,1.4 (0.75 -- 3.5),0.11 (-0.07 -- 0.55),6.5 (1.3 -- -9.9)
Isle of Wight,56 (8 -- 295),Unsure,0.83 (0.29 -- 1.8),-0.048 (-0.23 -- 0.19),-14 (3.6 -- -3.1)
