state,date,strat,type,bottom,top,lower,upper,central_lower,central_upper,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Georgia,2020-10-13,,estimate,,,,,,,0.003,0,0.013,-0.025,-0.006,0,0.005,0.008,0.015
Arizona,2020-09-17,,estimate,,,,,,,0.003,0.002,0.009,-0.014,-0.003,0.001,0.005,0.008,0.015
Arizona,2020-09-15,,estimate,,,,,,,0.003,0.002,0.009,-0.013,-0.003,0.001,0.005,0.008,0.015
Arizona,2020-09-16,,estimate,,,,,,,0.003,0.002,0.009,-0.013,-0.003,0.001,0.005,0.008,0.015
Georgia,2020-10-04,,estimate,,,,,,,0.003,0.002,0.011,-0.019,-0.003,0.001,0.004,0.008,0.018
Delaware,2020-09-16,,estimate,,,,,,,0.003,0.002,0.011,-0.017,-0.004,0,0.005,0.008,0.018
Delaware,2020-09-15,,estimate,,,,,,,0.003,0.002,0.011,-0.017,-0.004,0.001,0.005,0.009,0.018
Delaware,2020-09-26,,estimate,,,,,,,0.003,0.002,0.011,-0.016,-0.005,0,0.005,0.009,0.018
Delaware,2020-09-27,,estimate,,,,,,,0.003,0.002,0.011,-0.016,-0.004,0,0.005,0.009,0.018
Arizona,2020-08-31,,estimate,,,,,,,0.003,0.002,0.012,-0.018,-0.006,0,0.005,0.01,0.022
Arizona,2020-09-10,,estimate,,,,,,,0.003,0.003,0.008,-0.011,-0.002,0.001,0.004,0.008,0.016
Arizona,2020-09-07,,estimate,,,,,,,0.003,0.003,0.009,-0.011,-0.003,0.001,0.006,0.009,0.018
Arizona,2020-09-09,,estimate,,,,,,,0.003,0.003,0.009,-0.01,-0.002,0.001,0.005,0.008,0.017
Arizona,2020-09-08,,estimate,,,,,,,0.003,0.003,0.009,-0.01,-0.002,0.001,0.005,0.009,0.017
Arizona,2020-09-03,,estimate,,,,,,,0.003,0.003,0.01,-0.014,-0.004,0,0.006,0.01,0.019
Arizona,2020-09-04,,estimate,,,,,,,0.003,0.003,0.01,-0.012,-0.003,0.001,0.006,0.01,0.019
Arizona,2020-09-05,,estimate,,,,,,,0.003,0.003,0.01,-0.011,-0.003,0.001,0.006,0.01,0.019
Delaware,2020-09-14,,estimate,,,,,,,0.003,0.003,0.011,-0.017,-0.003,0.001,0.006,0.009,0.019
Delaware,2020-09-28,,estimate,,,,,,,0.003,0.003,0.011,-0.016,-0.004,0,0.006,0.009,0.018
Georgia,2020-10-03,,estimate,,,,,,,0.003,0.003,0.011,-0.016,-0.003,0.001,0.005,0.008,0.02
Arizona,2020-09-02,,estimate,,,,,,,0.003,0.003,0.011,-0.015,-0.004,0,0.006,0.01,0.02
Delaware,2020-09-29,,estimate,,,,,,,0.003,0.003,0.011,-0.015,-0.004,0.001,0.006,0.01,0.019
Arizona,2020-09-01,,estimate,,,,,,,0.003,0.003,0.012,-0.016,-0.005,0,0.006,0.01,0.021
Georgia,2020-10-02,,estimate,,,,,,,0.003,0.004,0.011,-0.014,-0.002,0.001,0.005,0.009,0.021
Georgia,2020-09-19,,estimate,,,,,,,0.003,0.005,0.013,-0.011,-0.003,0,0.005,0.011,0.031
Georgia,2020-09-20,,estimate,,,,,,,0.003,0.006,0.014,-0.01,-0.003,0.001,0.006,0.012,0.033
Georgia,2020-10-15,,estimate,,,,,,,0.004,0.001,0.012,-0.023,-0.004,0.001,0.006,0.009,0.017
Georgia,2020-10-16,,estimate,,,,,,,0.004,0.002,0.012,-0.021,-0.003,0.002,0.006,0.01,0.018
Arizona,2020-09-18,,estimate,,,,,,,0.004,0.003,0.009,-0.014,-0.003,0.002,0.006,0.009,0.016
Arizona,2020-09-19,,estimate,,,,,,,0.004,0.003,0.009,-0.013,-0.002,0.002,0.006,0.009,0.016
Arizona,2020-09-06,,estimate,,,,,,,0.004,0.003,0.009,-0.011,-0.003,0.001,0.006,0.01,0.018
Delaware,2020-09-13,,estimate,,,,,,,0.004,0.003,0.011,-0.016,-0.002,0.002,0.006,0.01,0.019
Delaware,2020-09-30,,estimate,,,,,,,0.004,0.003,0.011,-0.015,-0.004,0.001,0.006,0.01,0.019
Delaware,2020-10-01,,estimate,,,,,,,0.004,0.003,0.011,-0.015,-0.003,0.001,0.006,0.01,0.02
Arkansas,2020-09-24,,estimate,,,,,,,0.004,0.004,0.004,-0.003,0.002,0.004,0.006,0.007,0.011
