state,date,type,median,lower_90,upper_90,lower_50,upper_50
Alabama,2020-06-19,estimate,1.09,0.98,1.17,1.06,1.14
Alabama,2020-06-20,estimate,1.09,0.99,1.18,1.07,1.14
Alabama,2020-06-21,estimate,1.1,1,1.18,1.07,1.15
Alabama,2020-06-22,estimate,1.1,1.01,1.18,1.07,1.14
Alabama,2020-06-23,estimate,1.11,1.02,1.19,1.09,1.15
Alabama,2020-06-24,estimate,1.12,1.03,1.19,1.09,1.16
Alabama,2020-06-25,estimate,1.13,1.04,1.2,1.1,1.16
Alabama,2020-06-26,estimate,1.13,1.06,1.21,1.1,1.16
Alabama,2020-06-27,estimate,1.14,1.06,1.23,1.11,1.17
Alabama,2020-06-28,estimate,1.15,1.06,1.23,1.11,1.17
Alabama,2020-06-29,estimate,1.15,1.07,1.25,1.11,1.18
Alabama,2020-06-30,estimate,1.16,1.07,1.25,1.1,1.18
Alabama,2020-07-01,estimate,1.16,1.07,1.26,1.12,1.19
Alabama,2020-07-02,estimate,1.16,1.07,1.26,1.11,1.18
Alabama,2020-07-03,estimate,1.16,1.06,1.25,1.12,1.19
Alabama,2020-07-04,estimate,1.15,1.05,1.25,1.11,1.18
Alabama,2020-07-05,estimate,1.15,1.05,1.24,1.1,1.17
Alabama,2020-07-06,estimate,1.14,1.05,1.23,1.09,1.16
Alabama,2020-07-07,estimate,1.12,1.04,1.22,1.09,1.16
Alabama,2020-07-08,estimate,1.11,1.03,1.2,1.08,1.14
Alabama,2020-07-09,estimate,1.1,1.02,1.19,1.06,1.12
Alabama,2020-07-10,estimate,1.08,1,1.17,1.04,1.11
Alabama,2020-07-11,estimate,1.07,0.99,1.16,1.04,1.1
Alabama,2020-07-12,estimate,1.05,0.98,1.14,1.02,1.08
Alabama,2020-07-13,estimate,1.04,0.96,1.12,1.01,1.07
Alabama,2020-07-14,estimate,1.02,0.95,1.1,1,1.05
Alabama,2020-07-15,estimate,1.01,0.93,1.09,0.98,1.04
Alabama,2020-07-16,estimate,1,0.92,1.07,0.97,1.03
Alabama,2020-07-17,estimate,0.98,0.91,1.06,0.96,1.01
Alabama,2020-07-18,estimate,0.97,0.9,1.05,0.95,1.01
Alabama,2020-07-19,estimate,0.96,0.88,1.03,0.93,0.99
Alabama,2020-07-20,estimate,0.95,0.87,1.01,0.92,0.98
Alabama,2020-07-21,estimate,0.94,0.86,1,0.91,0.96
Alabama,2020-07-22,estimate,0.93,0.85,1,0.89,0.95
Alabama,2020-07-23,estimate,0.92,0.85,1,0.89,0.95
Alabama,2020-07-24,estimate,0.91,0.84,0.99,0.89,0.95
Alabama,2020-07-25,estimate,0.91,0.83,0.98,0.88,0.94
Alabama,2020-07-26,estimate,0.9,0.82,0.97,0.87,0.93
Alabama,2020-07-27,estimate,0.89,0.81,0.97,0.87,0.93
Alabama,2020-07-28,estimate,0.89,0.81,0.97,0.86,0.93
Alabama,2020-07-29,estimate,0.89,0.81,0.96,0.86,0.92
Alabama,2020-07-30,estimate,0.88,0.81,0.96,0.85,0.92
Alabama,2020-07-31,estimate,0.88,0.81,0.96,0.85,0.92
Alabama,2020-08-01,estimate,0.88,0.8,0.96,0.85,0.92
Alabama,2020-08-02,estimate,0.89,0.8,0.96,0.85,0.92
Alabama,2020-08-03,estimate,0.89,0.8,0.96,0.86,0.93
Alabama,2020-08-04,estimate,0.89,0.8,0.97,0.87,0.94
Alabama,2020-08-05,estimate,0.9,0.8,0.98,0.86,0.93
Alabama,2020-08-06,estimate,0.9,0.81,0.99,0.87,0.94
Alabama,2020-08-07,estimate,0.91,0.82,1,0.88,0.95
Alabama,2020-08-08,estimate,0.92,0.83,1.01,0.89,0.96
Alabama,2020-08-09,estimate,0.93,0.84,1.02,0.9,0.97
Alabama,2020-08-10,estimate,0.94,0.85,1.02,0.91,0.97
Alabama,2020-08-11,estimate,0.95,0.87,1.04,0.92,0.98
Alabama,2020-08-12,estimate,0.96,0.88,1.04,0.92,0.99
Alabama,2020-08-13,estimate,0.98,0.9,1.07,0.94,1.01
Alabama,2020-08-14,estimate,0.99,0.9,1.09,0.95,1.02
Alabama,2020-08-15,estimate,1.01,0.91,1.11,0.97,1.05
Alabama,2020-08-16,estimate based on partial data,1.03,0.92,1.14,0.97,1.07
Alabama,2020-08-17,estimate based on partial data,1.04,0.92,1.17,0.98,1.09
Alabama,2020-08-18,estimate based on partial data,1.05,0.91,1.2,0.97,1.09
Alabama,2020-08-19,estimate based on partial data,1.07,0.91,1.24,0.99,1.13
Alabama,2020-08-20,estimate based on partial data,1.08,0.92,1.28,0.98,1.13
Alabama,2020-08-21,estimate based on partial data,1.09,0.91,1.33,0.98,1.15
Alabama,2020-08-22,estimate based on partial data,1.1,0.9,1.37,0.98,1.16
Alabama,2020-08-23,estimate based on partial data,1.11,0.88,1.39,0.97,1.17
Alabama,2020-08-24,estimate based on partial data,1.11,0.86,1.42,0.97,1.18
Alabama,2020-08-25,estimate based on partial data,1.11,0.84,1.44,0.93,1.16
Alabama,2020-08-26,estimate based on partial data,1.12,0.85,1.5,0.92,1.16
Alabama,2020-08-27,estimate based on partial data,1.12,0.82,1.51,0.91,1.16
Alabama,2020-08-28,estimate based on partial data,1.11,0.81,1.54,0.92,1.18
Alabama,2020-08-29,forecast,1.11,0.81,1.54,0.92,1.18
Alabama,2020-08-30,forecast,1.11,0.81,1.54,0.92,1.18
Alabama,2020-08-31,forecast,1.11,0.81,1.54,0.92,1.18
Alabama,2020-09-01,forecast,1.11,0.81,1.54,0.92,1.18
Alabama,2020-09-02,forecast,1.11,0.81,1.54,0.92,1.18
Alabama,2020-09-03,forecast,1.11,0.81,1.54,0.92,1.18
Alabama,2020-09-04,forecast,1.11,0.81,1.54,0.92,1.18
Alabama,2020-09-05,forecast,1.11,0.81,1.54,0.92,1.18
Alabama,2020-09-06,forecast,1.11,0.81,1.54,0.92,1.18
Alabama,2020-09-07,forecast,1.11,0.81,1.54,0.92,1.18
Alabama,2020-09-08,forecast,1.11,0.81,1.54,0.92,1.18
Alabama,2020-09-09,forecast,1.11,0.81,1.54,0.92,1.18
Alabama,2020-09-10,forecast,1.11,0.81,1.54,0.92,1.18
Alabama,2020-09-11,forecast,1.11,0.81,1.54,0.92,1.18
Alaska,2020-06-19,estimate,1.18,1.09,1.28,1.16,1.22
Alaska,2020-06-20,estimate,1.18,1.09,1.27,1.15,1.22
Alaska,2020-06-21,estimate,1.18,1.08,1.27,1.14,1.21
Alaska,2020-06-22,estimate,1.18,1.08,1.27,1.15,1.22
Alaska,2020-06-23,estimate,1.18,1.08,1.27,1.15,1.22
Alaska,2020-06-24,estimate,1.18,1.07,1.26,1.15,1.22
Alaska,2020-06-25,estimate,1.18,1.08,1.26,1.15,1.21
Alaska,2020-06-26,estimate,1.18,1.08,1.27,1.15,1.22
Alaska,2020-06-27,estimate,1.18,1.1,1.28,1.14,1.21
Alaska,2020-06-28,estimate,1.19,1.1,1.28,1.15,1.22
Alaska,2020-06-29,estimate,1.19,1.11,1.29,1.15,1.22
Alaska,2020-06-30,estimate,1.19,1.1,1.29,1.15,1.22
Alaska,2020-07-01,estimate,1.19,1.11,1.29,1.16,1.23
Alaska,2020-07-02,estimate,1.2,1.1,1.28,1.17,1.24
Alaska,2020-07-03,estimate,1.2,1.11,1.3,1.15,1.22
Alaska,2020-07-04,estimate,1.2,1.11,1.3,1.15,1.22
Alaska,2020-07-05,estimate,1.2,1.11,1.29,1.16,1.23
Alaska,2020-07-06,estimate,1.2,1.1,1.29,1.15,1.23
Alaska,2020-07-07,estimate,1.2,1.12,1.3,1.15,1.22
Alaska,2020-07-08,estimate,1.19,1.11,1.3,1.14,1.22
Alaska,2020-07-09,estimate,1.19,1.1,1.29,1.13,1.21
Alaska,2020-07-10,estimate,1.18,1.1,1.29,1.12,1.2
Alaska,2020-07-11,estimate,1.17,1.09,1.28,1.12,1.19
Alaska,2020-07-12,estimate,1.16,1.08,1.27,1.11,1.18
Alaska,2020-07-13,estimate,1.15,1.07,1.25,1.1,1.17
Alaska,2020-07-14,estimate,1.14,1.05,1.24,1.08,1.15
Alaska,2020-07-15,estimate,1.12,1.04,1.22,1.07,1.14
Alaska,2020-07-16,estimate,1.11,1.03,1.21,1.06,1.13
Alaska,2020-07-17,estimate,1.09,1.02,1.19,1.05,1.12
Alaska,2020-07-18,estimate,1.08,1,1.17,1.04,1.1
Alaska,2020-07-19,estimate,1.06,0.98,1.15,1.03,1.09
Alaska,2020-07-20,estimate,1.04,0.96,1.13,1.02,1.08
Alaska,2020-07-21,estimate,1.03,0.94,1.11,1,1.06
Alaska,2020-07-22,estimate,1.01,0.91,1.09,0.99,1.05
Alaska,2020-07-23,estimate,1,0.91,1.08,0.97,1.03
Alaska,2020-07-24,estimate,0.98,0.89,1.06,0.96,1.02
Alaska,2020-07-25,estimate,0.97,0.88,1.05,0.94,1.01
Alaska,2020-07-26,estimate,0.96,0.87,1.04,0.93,0.99
Alaska,2020-07-27,estimate,0.94,0.86,1.03,0.92,0.99
Alaska,2020-07-28,estimate,0.93,0.85,1.02,0.91,0.98
Alaska,2020-07-29,estimate,0.93,0.84,1.01,0.9,0.97
Alaska,2020-07-30,estimate,0.92,0.83,0.99,0.9,0.96
Alaska,2020-07-31,estimate,0.91,0.82,0.99,0.9,0.96
Alaska,2020-08-01,estimate,0.91,0.82,0.99,0.88,0.95
Alaska,2020-08-02,estimate,0.91,0.82,0.98,0.89,0.95
Alaska,2020-08-03,estimate,0.91,0.82,0.99,0.87,0.94
Alaska,2020-08-04,estimate,0.91,0.82,0.99,0.87,0.94
Alaska,2020-08-05,estimate,0.91,0.82,0.99,0.87,0.94
Alaska,2020-08-06,estimate,0.91,0.81,0.98,0.87,0.94
Alaska,2020-08-07,estimate,0.91,0.83,1,0.89,0.95
Alaska,2020-08-08,estimate,0.91,0.83,1,0.88,0.95
Alaska,2020-08-09,estimate,0.92,0.83,1,0.88,0.95
Alaska,2020-08-10,estimate,0.92,0.83,1.01,0.89,0.96
Alaska,2020-08-11,estimate,0.93,0.84,1.01,0.89,0.96
Alaska,2020-08-12,estimate,0.93,0.85,1.03,0.89,0.96
Alaska,2020-08-13,estimate,0.94,0.84,1.03,0.89,0.97
Alaska,2020-08-14,estimate,0.94,0.84,1.03,0.9,0.97
Alaska,2020-08-15,estimate,0.94,0.85,1.06,0.9,0.99
Alaska,2020-08-16,estimate based on partial data,0.95,0.83,1.07,0.9,0.98
Alaska,2020-08-17,estimate based on partial data,0.95,0.83,1.07,0.89,0.99
Alaska,2020-08-18,estimate based on partial data,0.95,0.82,1.09,0.89,0.99
Alaska,2020-08-19,estimate based on partial data,0.95,0.81,1.1,0.9,1.01
Alaska,2020-08-20,estimate based on partial data,0.95,0.79,1.11,0.9,1.01
Alaska,2020-08-21,estimate based on partial data,0.95,0.79,1.14,0.87,1
Alaska,2020-08-22,estimate based on partial data,0.95,0.78,1.15,0.87,1
Alaska,2020-08-23,estimate based on partial data,0.95,0.76,1.16,0.87,1.01
Alaska,2020-08-24,estimate based on partial data,0.95,0.75,1.17,0.86,1.01
Alaska,2020-08-25,estimate based on partial data,0.95,0.73,1.19,0.84,1
Alaska,2020-08-26,estimate based on partial data,0.95,0.73,1.21,0.84,1.01
Alaska,2020-08-27,estimate based on partial data,0.95,0.73,1.24,0.84,1.01
Alaska,2020-08-28,estimate based on partial data,0.95,0.71,1.25,0.83,1.01
Alaska,2020-08-29,forecast,0.95,0.71,1.25,0.83,1.01
Alaska,2020-08-30,forecast,0.95,0.71,1.25,0.83,1.01
Alaska,2020-08-31,forecast,0.95,0.71,1.25,0.83,1.01
Alaska,2020-09-01,forecast,0.95,0.71,1.25,0.83,1.01
Alaska,2020-09-02,forecast,0.95,0.71,1.25,0.83,1.01
Alaska,2020-09-03,forecast,0.95,0.71,1.25,0.83,1.01
Alaska,2020-09-04,forecast,0.95,0.71,1.25,0.83,1.01
Alaska,2020-09-05,forecast,0.95,0.71,1.25,0.83,1.01
Alaska,2020-09-06,forecast,0.95,0.71,1.25,0.83,1.01
Alaska,2020-09-07,forecast,0.95,0.71,1.25,0.83,1.01
Alaska,2020-09-08,forecast,0.95,0.71,1.25,0.83,1.01
Alaska,2020-09-09,forecast,0.95,0.71,1.25,0.83,1.01
Alaska,2020-09-10,forecast,0.95,0.71,1.25,0.83,1.01
Alaska,2020-09-11,forecast,0.95,0.71,1.25,0.83,1.01
Arizona,2020-06-19,estimate,1.17,1.07,1.24,1.14,1.2
Arizona,2020-06-20,estimate,1.14,1.06,1.23,1.11,1.18
Arizona,2020-06-21,estimate,1.12,1.04,1.2,1.09,1.16
Arizona,2020-06-22,estimate,1.1,1.02,1.17,1.07,1.13
Arizona,2020-06-23,estimate,1.08,1.01,1.16,1.05,1.11
Arizona,2020-06-24,estimate,1.07,0.98,1.14,1.04,1.1
Arizona,2020-06-25,estimate,1.05,0.97,1.12,1.01,1.08
Arizona,2020-06-26,estimate,1.03,0.95,1.1,1,1.06
Arizona,2020-06-27,estimate,1.02,0.94,1.09,0.99,1.05
Arizona,2020-06-28,estimate,1,0.92,1.08,0.97,1.03
Arizona,2020-06-29,estimate,0.99,0.91,1.07,0.97,1.03
Arizona,2020-06-30,estimate,0.98,0.9,1.06,0.95,1.01
Arizona,2020-07-01,estimate,0.97,0.89,1.05,0.95,1.01
Arizona,2020-07-02,estimate,0.96,0.89,1.04,0.94,1
Arizona,2020-07-03,estimate,0.96,0.87,1.03,0.92,0.99
Arizona,2020-07-04,estimate,0.95,0.87,1.02,0.92,0.98
Arizona,2020-07-05,estimate,0.94,0.87,1.02,0.92,0.97
Arizona,2020-07-06,estimate,0.94,0.86,1.01,0.91,0.96
Arizona,2020-07-07,estimate,0.93,0.87,1.01,0.91,0.96
Arizona,2020-07-08,estimate,0.93,0.85,0.99,0.9,0.95
Arizona,2020-07-09,estimate,0.92,0.86,1,0.89,0.95
Arizona,2020-07-10,estimate,0.92,0.85,0.99,0.89,0.95
Arizona,2020-07-11,estimate,0.91,0.84,0.99,0.9,0.95
Arizona,2020-07-12,estimate,0.91,0.83,0.98,0.88,0.94
Arizona,2020-07-13,estimate,0.91,0.83,0.98,0.87,0.93
Arizona,2020-07-14,estimate,0.9,0.82,0.98,0.87,0.93
Arizona,2020-07-15,estimate,0.89,0.82,0.98,0.86,0.92
Arizona,2020-07-16,estimate,0.89,0.81,0.97,0.86,0.92
Arizona,2020-07-17,estimate,0.88,0.81,0.96,0.85,0.91
Arizona,2020-07-18,estimate,0.87,0.8,0.96,0.83,0.89
Arizona,2020-07-19,estimate,0.87,0.79,0.95,0.83,0.89
Arizona,2020-07-20,estimate,0.86,0.79,0.94,0.83,0.89
Arizona,2020-07-21,estimate,0.85,0.77,0.92,0.82,0.87
Arizona,2020-07-22,estimate,0.84,0.76,0.91,0.81,0.87
Arizona,2020-07-23,estimate,0.83,0.75,0.9,0.8,0.86
Arizona,2020-07-24,estimate,0.82,0.75,0.9,0.79,0.85
Arizona,2020-07-25,estimate,0.82,0.74,0.89,0.78,0.84
Arizona,2020-07-26,estimate,0.81,0.73,0.89,0.78,0.84
Arizona,2020-07-27,estimate,0.8,0.73,0.88,0.77,0.83
Arizona,2020-07-28,estimate,0.79,0.72,0.87,0.76,0.82
Arizona,2020-07-29,estimate,0.79,0.72,0.87,0.76,0.82
Arizona,2020-07-30,estimate,0.78,0.71,0.86,0.76,0.83
Arizona,2020-07-31,estimate,0.78,0.7,0.86,0.75,0.82
Arizona,2020-08-01,estimate,0.78,0.7,0.85,0.75,0.81
Arizona,2020-08-02,estimate,0.78,0.7,0.85,0.75,0.81
Arizona,2020-08-03,estimate,0.78,0.7,0.85,0.75,0.81
Arizona,2020-08-04,estimate,0.78,0.7,0.85,0.75,0.81
Arizona,2020-08-05,estimate,0.78,0.7,0.85,0.74,0.8
Arizona,2020-08-06,estimate,0.78,0.69,0.85,0.75,0.81
Arizona,2020-08-07,estimate,0.78,0.69,0.85,0.75,0.81
Arizona,2020-08-08,estimate,0.78,0.7,0.86,0.75,0.81
Arizona,2020-08-09,estimate,0.78,0.71,0.86,0.75,0.81
Arizona,2020-08-10,estimate,0.79,0.71,0.87,0.76,0.82
Arizona,2020-08-11,estimate,0.79,0.71,0.88,0.76,0.83
Arizona,2020-08-12,estimate,0.8,0.71,0.89,0.76,0.83
Arizona,2020-08-13,estimate,0.8,0.7,0.89,0.76,0.84
Arizona,2020-08-14,estimate,0.8,0.71,0.91,0.76,0.84
Arizona,2020-08-15,estimate,0.81,0.7,0.91,0.76,0.85
Arizona,2020-08-16,estimate based on partial data,0.81,0.7,0.93,0.75,0.85
Arizona,2020-08-17,estimate based on partial data,0.82,0.7,0.95,0.75,0.85
Arizona,2020-08-18,estimate based on partial data,0.82,0.68,0.95,0.75,0.86
Arizona,2020-08-19,estimate based on partial data,0.82,0.66,0.96,0.75,0.87
Arizona,2020-08-20,estimate based on partial data,0.82,0.64,0.96,0.74,0.87
Arizona,2020-08-21,estimate based on partial data,0.82,0.65,0.99,0.73,0.86
Arizona,2020-08-22,estimate based on partial data,0.82,0.64,1.01,0.75,0.89
Arizona,2020-08-23,estimate based on partial data,0.82,0.63,1.02,0.75,0.9
Arizona,2020-08-24,estimate based on partial data,0.82,0.61,1.03,0.71,0.87
Arizona,2020-08-25,estimate based on partial data,0.81,0.6,1.04,0.7,0.87
Arizona,2020-08-26,estimate based on partial data,0.81,0.57,1.03,0.72,0.89
Arizona,2020-08-27,estimate based on partial data,0.81,0.57,1.06,0.7,0.88
Arizona,2020-08-28,estimate based on partial data,0.81,0.55,1.07,0.72,0.91
Arizona,2020-08-29,forecast,0.81,0.55,1.07,0.72,0.91
Arizona,2020-08-30,forecast,0.81,0.55,1.07,0.72,0.91
Arizona,2020-08-31,forecast,0.81,0.55,1.07,0.72,0.91
Arizona,2020-09-01,forecast,0.81,0.55,1.07,0.72,0.91
Arizona,2020-09-02,forecast,0.81,0.55,1.07,0.72,0.91
Arizona,2020-09-03,forecast,0.81,0.55,1.07,0.72,0.91
Arizona,2020-09-04,forecast,0.81,0.55,1.07,0.72,0.91
Arizona,2020-09-05,forecast,0.81,0.55,1.07,0.72,0.91
Arizona,2020-09-06,forecast,0.81,0.55,1.07,0.72,0.91
Arizona,2020-09-07,forecast,0.81,0.55,1.07,0.72,0.91
Arizona,2020-09-08,forecast,0.81,0.55,1.07,0.72,0.91
Arizona,2020-09-09,forecast,0.81,0.55,1.07,0.72,0.91
Arizona,2020-09-10,forecast,0.81,0.55,1.07,0.72,0.91
Arizona,2020-09-11,forecast,0.81,0.55,1.07,0.72,0.91
Arkansas,2020-06-19,estimate,1.09,1,1.16,1.06,1.12
Arkansas,2020-06-20,estimate,1.08,0.99,1.15,1.06,1.11
Arkansas,2020-06-21,estimate,1.07,0.97,1.14,1.05,1.11
Arkansas,2020-06-22,estimate,1.06,0.97,1.14,1.05,1.11
Arkansas,2020-06-23,estimate,1.06,0.97,1.13,1.04,1.1
Arkansas,2020-06-24,estimate,1.05,0.96,1.12,1.04,1.1
Arkansas,2020-06-25,estimate,1.05,0.96,1.12,1.03,1.09
Arkansas,2020-06-26,estimate,1.05,0.96,1.11,1.03,1.08
Arkansas,2020-06-27,estimate,1.05,0.96,1.12,1.02,1.08
Arkansas,2020-06-28,estimate,1.04,0.96,1.11,1.03,1.08
Arkansas,2020-06-29,estimate,1.04,0.96,1.11,1.03,1.08
Arkansas,2020-06-30,estimate,1.04,0.96,1.11,1.02,1.07
Arkansas,2020-07-01,estimate,1.04,0.97,1.11,1.02,1.07
Arkansas,2020-07-02,estimate,1.04,0.97,1.11,1.03,1.08
Arkansas,2020-07-03,estimate,1.04,0.97,1.11,1.01,1.06
Arkansas,2020-07-04,estimate,1.04,0.97,1.11,1.02,1.07
Arkansas,2020-07-05,estimate,1.04,0.98,1.12,1.02,1.07
Arkansas,2020-07-06,estimate,1.04,0.97,1.12,1.02,1.07
Arkansas,2020-07-07,estimate,1.04,0.97,1.12,1.01,1.07
Arkansas,2020-07-08,estimate,1.04,0.97,1.12,1.01,1.07
Arkansas,2020-07-09,estimate,1.04,0.97,1.12,1,1.06
Arkansas,2020-07-10,estimate,1.04,0.97,1.12,1,1.06
Arkansas,2020-07-11,estimate,1.04,0.97,1.12,1,1.06
Arkansas,2020-07-12,estimate,1.03,0.96,1.11,1,1.05
Arkansas,2020-07-13,estimate,1.03,0.96,1.11,0.99,1.05
Arkansas,2020-07-14,estimate,1.03,0.96,1.11,1,1.05
Arkansas,2020-07-15,estimate,1.02,0.95,1.11,0.99,1.04
Arkansas,2020-07-16,estimate,1.02,0.95,1.11,0.99,1.04
Arkansas,2020-07-17,estimate,1.01,0.95,1.09,0.98,1.03
Arkansas,2020-07-18,estimate,1.01,0.95,1.09,0.98,1.03
Arkansas,2020-07-19,estimate,1,0.95,1.09,0.98,1.03
Arkansas,2020-07-20,estimate,1,0.94,1.08,0.97,1.02
Arkansas,2020-07-21,estimate,0.99,0.93,1.07,0.97,1.02
Arkansas,2020-07-22,estimate,0.99,0.91,1.05,0.97,1.02
Arkansas,2020-07-23,estimate,0.98,0.91,1.05,0.96,1.01
Arkansas,2020-07-24,estimate,0.98,0.91,1.05,0.95,1
Arkansas,2020-07-25,estimate,0.97,0.9,1.04,0.95,1
Arkansas,2020-07-26,estimate,0.97,0.9,1.04,0.94,0.99
Arkansas,2020-07-27,estimate,0.96,0.88,1.03,0.94,0.99
Arkansas,2020-07-28,estimate,0.96,0.88,1.03,0.93,0.99
Arkansas,2020-07-29,estimate,0.95,0.88,1.02,0.93,0.98
Arkansas,2020-07-30,estimate,0.95,0.87,1.02,0.93,0.98
Arkansas,2020-07-31,estimate,0.94,0.86,1.01,0.93,0.98
Arkansas,2020-08-01,estimate,0.94,0.86,1.01,0.92,0.98
Arkansas,2020-08-02,estimate,0.94,0.85,1,0.92,0.98
Arkansas,2020-08-03,estimate,0.94,0.85,1,0.91,0.97
Arkansas,2020-08-04,estimate,0.94,0.85,1,0.91,0.97
Arkansas,2020-08-05,estimate,0.93,0.85,1,0.91,0.96
Arkansas,2020-08-06,estimate,0.93,0.85,1,0.91,0.97
Arkansas,2020-08-07,estimate,0.93,0.86,1.01,0.91,0.97
Arkansas,2020-08-08,estimate,0.94,0.86,1.01,0.9,0.96
Arkansas,2020-08-09,estimate,0.94,0.86,1.02,0.91,0.96
Arkansas,2020-08-10,estimate,0.94,0.86,1.02,0.91,0.97
Arkansas,2020-08-11,estimate,0.94,0.86,1.02,0.91,0.97
Arkansas,2020-08-12,estimate,0.95,0.87,1.03,0.91,0.97
Arkansas,2020-08-13,estimate,0.95,0.87,1.03,0.93,0.99
Arkansas,2020-08-14,estimate,0.96,0.87,1.04,0.93,0.99
Arkansas,2020-08-15,estimate,0.96,0.86,1.05,0.92,0.99
Arkansas,2020-08-16,estimate based on partial data,0.96,0.86,1.06,0.92,1
Arkansas,2020-08-17,estimate based on partial data,0.97,0.86,1.08,0.91,1
Arkansas,2020-08-18,estimate based on partial data,0.97,0.86,1.11,0.92,1.01
Arkansas,2020-08-19,estimate based on partial data,0.98,0.84,1.11,0.92,1.02
Arkansas,2020-08-20,estimate based on partial data,0.98,0.82,1.12,0.92,1.02
Arkansas,2020-08-21,estimate based on partial data,0.98,0.82,1.14,0.92,1.03
Arkansas,2020-08-22,estimate based on partial data,0.98,0.82,1.16,0.92,1.03
Arkansas,2020-08-23,estimate based on partial data,0.98,0.82,1.18,0.91,1.03
Arkansas,2020-08-24,estimate based on partial data,0.99,0.81,1.2,0.92,1.04
Arkansas,2020-08-25,estimate based on partial data,0.99,0.8,1.22,0.9,1.03
Arkansas,2020-08-26,estimate based on partial data,0.99,0.81,1.24,0.9,1.04
Arkansas,2020-08-27,estimate based on partial data,0.99,0.8,1.25,0.91,1.05
Arkansas,2020-08-28,estimate based on partial data,0.99,0.77,1.25,0.9,1.05
Arkansas,2020-08-29,forecast,0.99,0.77,1.25,0.9,1.05
Arkansas,2020-08-30,forecast,0.99,0.77,1.25,0.9,1.05
Arkansas,2020-08-31,forecast,0.99,0.77,1.25,0.9,1.05
Arkansas,2020-09-01,forecast,0.99,0.77,1.25,0.9,1.05
Arkansas,2020-09-02,forecast,0.99,0.77,1.25,0.9,1.05
Arkansas,2020-09-03,forecast,0.99,0.77,1.25,0.9,1.05
Arkansas,2020-09-04,forecast,0.99,0.77,1.25,0.9,1.05
Arkansas,2020-09-05,forecast,0.99,0.77,1.25,0.9,1.05
Arkansas,2020-09-06,forecast,0.99,0.77,1.25,0.9,1.05
Arkansas,2020-09-07,forecast,0.99,0.77,1.25,0.9,1.05
Arkansas,2020-09-08,forecast,0.99,0.77,1.25,0.9,1.05
Arkansas,2020-09-09,forecast,0.99,0.77,1.25,0.9,1.05
Arkansas,2020-09-10,forecast,0.99,0.77,1.25,0.9,1.05
Arkansas,2020-09-11,forecast,0.99,0.77,1.25,0.9,1.05
California,2020-06-19,estimate,1.17,1.11,1.23,1.15,1.2
California,2020-06-20,estimate,1.17,1.1,1.22,1.14,1.19
California,2020-06-21,estimate,1.16,1.09,1.21,1.14,1.18
California,2020-06-22,estimate,1.15,1.09,1.21,1.13,1.17
California,2020-06-23,estimate,1.14,1.08,1.19,1.12,1.16
California,2020-06-24,estimate,1.13,1.08,1.19,1.11,1.15
California,2020-06-25,estimate,1.13,1.07,1.18,1.11,1.15
California,2020-06-26,estimate,1.12,1.07,1.18,1.11,1.15
California,2020-06-27,estimate,1.11,1.06,1.17,1.09,1.14
California,2020-06-28,estimate,1.11,1.05,1.17,1.09,1.13
California,2020-06-29,estimate,1.1,1.05,1.16,1.08,1.12
California,2020-06-30,estimate,1.1,1.03,1.15,1.07,1.12
California,2020-07-01,estimate,1.09,1.03,1.15,1.07,1.11
California,2020-07-02,estimate,1.08,1.02,1.14,1.05,1.1
California,2020-07-03,estimate,1.07,1.02,1.13,1.05,1.09
California,2020-07-04,estimate,1.07,1.01,1.12,1.04,1.08
California,2020-07-05,estimate,1.06,1,1.12,1.04,1.08
California,2020-07-06,estimate,1.05,0.99,1.11,1.02,1.07
California,2020-07-07,estimate,1.04,0.99,1.1,1.02,1.06
California,2020-07-08,estimate,1.03,0.98,1.09,1.02,1.06
California,2020-07-09,estimate,1.03,0.97,1.08,1,1.05
California,2020-07-10,estimate,1.02,0.96,1.07,1,1.04
California,2020-07-11,estimate,1.01,0.95,1.07,0.99,1.03
California,2020-07-12,estimate,1,0.94,1.06,0.98,1.03
California,2020-07-13,estimate,0.99,0.93,1.05,0.97,1.02
California,2020-07-14,estimate,0.99,0.93,1.04,0.97,1.01
California,2020-07-15,estimate,0.98,0.93,1.04,0.96,1.01
California,2020-07-16,estimate,0.97,0.92,1.03,0.95,1
California,2020-07-17,estimate,0.97,0.92,1.03,0.95,0.99
California,2020-07-18,estimate,0.97,0.91,1.02,0.95,0.99
California,2020-07-19,estimate,0.96,0.9,1.02,0.94,0.99
California,2020-07-20,estimate,0.96,0.91,1.02,0.94,0.99
California,2020-07-21,estimate,0.96,0.9,1.02,0.94,0.99
California,2020-07-22,estimate,0.96,0.91,1.02,0.94,0.99
California,2020-07-23,estimate,0.96,0.91,1.02,0.94,0.99
California,2020-07-24,estimate,0.96,0.91,1.02,0.94,0.98
California,2020-07-25,estimate,0.96,0.91,1.02,0.95,0.99
California,2020-07-26,estimate,0.96,0.91,1.02,0.95,0.99
California,2020-07-27,estimate,0.97,0.91,1.02,0.95,0.99
California,2020-07-28,estimate,0.97,0.91,1.03,0.95,0.99
California,2020-07-29,estimate,0.97,0.92,1.04,0.95,0.99
California,2020-07-30,estimate,0.97,0.92,1.04,0.95,0.99
California,2020-07-31,estimate,0.97,0.92,1.04,0.94,0.99
California,2020-08-01,estimate,0.97,0.92,1.04,0.94,0.99
