region,time
Acre,3.8
Alagoas,5.7
Amapá,3.9
Amazonas,3.7
Bahia,5.9
Ceará,4.2
Distrito Federal,5.5
Espirito Santo,3.9
Goiás,4.1
Maranhão,3.9
Mato Grosso,5.3
Mato Grosso do Sul,5.1
Minas Gerais,5.4
Pará,3.6
Paraíba,3.2
Paraná,5.3
Pernambuco,3
Piauí,3.5
Rio de Janeiro,2.7
Rio Grande do Norte,5.1
Rio Grande do Sul,3.6
Rondônia,3.1
Roraima,3.8
Santa Catarina,4.6
São Paulo,3.3
Sergipe,6.4
Tocantins,3.8
