region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,point,lower,upper,mid_lower,mid_upper,central_lower,central_upper,metric,Expected change in daily cases
Yamalo-Nenets Autonomous Okrug,137 (78 -- 240),137,146,54,78,110,126,148,170,240,,,,,,,,New confirmed cases by infection date,Unsure
Kaluga Oblast,126 (95 -- 160),126,126,19,95,113,121,131,138,160,,,,,,,,New confirmed cases by infection date,Likely increasing
Perm Krai,126 (102 -- 154),126,127,15,102,116,122,129,136,154,,,,,,,,New confirmed cases by infection date,Unsure
Kabardino-Balkarian Republic,122 (85 -- 179),122,125,29,85,105,115,129,142,179,,,,,,,,New confirmed cases by infection date,Likely increasing
Ivanovo Oblast,118 (68 -- 199),118,124,42,68,97,109,128,145,199,,,,,,,,New confirmed cases by infection date,Unsure
Chelyabinsk Oblast,117 (93 -- 150),117,119,18,93,106,113,122,129,150,,,,,,,,New confirmed cases by infection date,Unsure
Kirov Oblast,112 (89 -- 149),112,114,19,89,101,107,116,124,149,,,,,,,,New confirmed cases by infection date,Likely increasing
Kurgan Oblast,109 (64 -- 164),109,111,30,64,91,102,117,128,164,,,,,,,,New confirmed cases by infection date,Unsure
Yaroslavl Oblast,109 (86 -- 150),109,112,20,86,99,105,114,123,150,,,,,,,,New confirmed cases by infection date,Unsure
Primorsky Krai,108 (87 -- 141),108,110,16,87,98,104,112,119,141,,,,,,,,New confirmed cases by infection date,Unsure
Karelia Republic,106 (49 -- 219),106,116,60,49,78,95,117,139,219,,,,,,,,New confirmed cases by infection date,Unsure
Kaliningrad Oblast,102 (74 -- 129),102,102,16,74,91,98,106,113,129,,,,,,,,New confirmed cases by infection date,Likely increasing
Krasnodar Krai,102 (74 -- 132),102,102,17,74,91,98,106,113,132,,,,,,,,New confirmed cases by infection date,Unsure
Buryatia Republic,101 (57 -- 153),101,102,29,57,83,94,108,120,153,,,,,,,,New confirmed cases by infection date,Unsure
Kalmykia Republic,101 (63 -- 207),101,113,50,63,82,93,110,129,207,,,,,,,,New confirmed cases by infection date,Unsure
