Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Sevastopol,43 (16 -- 77),Likely increasing,1.1 (0.8 -- 1.3),0.03 (-0.04 -- 0.09),21 (7.9 -- -16.3)
Smolensk Oblast,74 (33 -- 133),Increasing,1.3 (1 -- 1.6),0.08 (0 -- 0.16),8.5 (4.3 -- 143.5)
Stavropol Krai,158 (132 -- 190),Likely increasing,1 (1 -- 1.1),0 (-0.01 -- 0.02),150.3 (38.4 -- -134.9)
Sverdlovsk Oblast,216 (146 -- 316),Likely increasing,1.1 (1 -- 1.3),0.02 (-0.01 -- 0.07),28.2 (10.2 -- -55.8)
Tambov Oblast,64 (35 -- 93),Likely increasing,1.1 (0.9 -- 1.3),0.03 (-0.02 -- 0.07),27.3 (9.8 -- -28.6)
Tatarstan Republic,23 (17 -- 31),Unsure,1 (0.9 -- 1.1),0 (-0.02 -- 0.02),-264.1 (28.9 -- -31.7)
Tomsk Oblast,146 (92 -- 215),Increasing,1.1 (1 -- 1.3),0.04 (0 -- 0.08),18.5 (8.8 -- 2420.9)
Tula Oblast,46 (29 -- 66),Likely increasing,1.1 (1 -- 1.2),0.02 (-0.01 -- 0.05),38.3 (12.8 -- -47)
Tver Oblast,116 (63 -- 181),Likely increasing,1.2 (1 -- 1.4),0.05 (-0.01 -- 0.11),12.9 (6.3 -- -89.1)
Tyumen Oblast,138 (79 -- 215),Likely increasing,1.1 (0.9 -- 1.4),0.04 (-0.01 -- 0.1),17.8 (6.8 -- -54.1)
Tyva Republic,30 (11 -- 49),Unsure,0.9 (0.7 -- 1.1),-0.02 (-0.09 -- 0.04),-36.6 (18.3 -- -7.8)
Udmurt Republic,150 (81 -- 229),Unsure,1.1 (0.9 -- 1.3),0.02 (-0.03 -- 0.07),30.6 (9.4 -- -20)
Ulyanovsk Oblast,154 (105 -- 217),Unsure,1 (0.9 -- 1.2),0.01 (-0.02 -- 0.05),58.2 (13.1 -- -36.1)
Vladimir Oblast,77 (42 -- 124),Likely increasing,1.2 (1 -- 1.4),0.04 (-0.01 -- 0.1),16.7 (7 -- -59.4)
Volgograd Oblast,138 (104 -- 191),Likely increasing,1 (1 -- 1.2),0.01 (0 -- 0.04),61.3 (16.3 -- -143.7)
Vologda Oblast,54 (42 -- 68),Likely increasing,1 (1 -- 1.1),0.01 (-0.01 -- 0.03),69.8 (23.7 -- -119)
Voronezh Oblast,224 (167 -- 291),Likely increasing,1.1 (1 -- 1.2),0.02 (0 -- 0.05),34.9 (14.9 -- -194.1)
Yamalo-Nenets Autonomous Okrug,244 (124 -- 374),Likely increasing,1.2 (0.9 -- 1.4),0.05 (-0.02 -- 0.11),14.3 (6.5 -- -35.3)
Yaroslavl Oblast,65 (48 -- 87),Likely increasing,1 (1 -- 1.2),0.01 (-0.01 -- 0.04),53.4 (16.9 -- -137.2)
Zabaykalsky Krai,115 (50 -- 198),Unsure,1.1 (0.8 -- 1.4),0.02 (-0.05 -- 0.1),31.3 (6.9 -- -12.7)
