region,time
Afghanistan,5.8
Albania,9.9
Algeria,3.8
Andorra,4.7
Angola,4
Argentina,3.5
Armenia,12.9
Aruba,2.2
Austria,7.5
Azerbaijan,12
Bahamas,3.5
Bahrain,3.5
Bangladesh,8.6
Belarus,9.4
Belgium,29.4
Belize,4.3
Bolivia,13.9
Bosnia & Herzegovina,12.2
Brazil,6.5
Bulgaria,9.4
Burkina Faso,4.9
Cameroon,2.6
Canada,5.6
Cape Verde,4.2
Chile,3.1
China,3.3
Colombia,8.6
Congo - Kinshasa,4.4
Costa Rica,6
Croatia,9.7
Cuba,2.7
Cyprus,7.6
Czechia,10.2
Denmark,6.1
Dominican Republic,2.9
Ecuador,5.2
Egypt,7.7
El Salvador,3.9
Estonia,5.1
Eswatini,3.7
Ethiopia,3.1
Finland,3.8
France,12.7
French Polynesia,2.7
Georgia,11.7
Germany,10.3
Ghana,3.4
Greece,21
Guam,2.2
Guatemala,12.9
Guyana,3.4
Honduras,3.4
Hungary,12.6
India,14
Indonesia,9.4
Iran,16.1
Iraq,6.3
Ireland,3.9
Israel,8
Italy,15
Jamaica,3.9
Japan,7.1
Jordan,10.7
Kenya,5
Kosovo,7.7
Kuwait,2.8
Kyrgyzstan,3.8
Latvia,3.5
Lebanon,4.9
Libya,2.7
Liechtenstein,1.9
Lithuania,5.4
Luxembourg,4.7
Malaysia,3.5
Maldives,2.9
Mali,3.9
Malta,3.3
Mexico,3.4
Moldova,6.8
Montenegro,3
Morocco,6.8
Mozambique,2.9
Myanmar (Burma),6.1
Nepal,6
Netherlands,10.6
Nigeria,4.7
North Macedonia,9.6
Norway,3.6
Oman,3.8
Pakistan,8
Palestinian Territories,8
Panama,7.7
Paraguay,6.4
Peru,6.8
Philippines,2.8
Poland,5.8
Portugal,16.2
Puerto Rico,4.9
Qatar,2.9
Réunion,2.4
Romania,8.3
Russia,15.1
Rwanda,3.1
San Marino,1.6
Saudi Arabia,3.8
Senegal,5
Serbia,13.3
Slovakia,2.8
Slovenia,15.6
South Africa,6.3
South Korea,11.7
Spain,20.2
Sri Lanka,3.8
Sudan,3.7
Suriname,3.2
Sweden,18.1
Switzerland,16.9
Syria,10.7
Trinidad & Tobago,2.8
Tunisia,4.2
Turkey,23.4
Uganda,4
Ukraine,8.2
United Arab Emirates,4
United Kingdom,7.4
United States,8.6
Uruguay,5.4
Uzbekistan,2.8
Venezuela,5.6
Yemen,2.3
Zambia,2
Zimbabwe,2.5
