Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Württemberg,313 (60 -- 600),Unsure,1.01 (0.56 -- 1.37),0 (-0.13 -- 0.1),429.4 (6.9 -- -5.5)
Bayern,274 (54 -- 492),Unsure,0.94 (0.58 -- 1.21),-0.02 (-0.11 -- 0.06),-42.3 (11 -- -6.1)
Berlin,65 (6 -- 176),Unsure,0.96 (0.46 -- 1.58),-0.01 (-0.16 -- 0.15),-64.5 (4.5 -- -4.2)
Brandenburg,6 (0 -- 18),Likely decreasing,0.74 (0.29 -- 1.18),-0.08 (-0.22 -- 0.06),-9.1 (12.4 -- -3.2)
Bremen,16 (1 -- 39),Unsure,1.09 (0.44 -- 1.47),0.02 (-0.13 -- 0.15),29.8 (4.6 -- -5.3)
Hamburg,32 (2 -- 107),Unsure,1.16 (0.41 -- 2.09),0.04 (-0.16 -- 0.28),15.6 (2.5 -- -4.3)
Hessen,93 (18 -- 183),Likely decreasing,0.85 (0.52 -- 1.13),-0.04 (-0.14 -- 0.04),-16 (19.2 -- -4.8)
Mecklenburg-Vorpommern,0 (0 -- 3),Likely decreasing,0.55 (0.04 -- 1.35),-0.13 (-0.34 -- 0.1),-5.2 (7.1 -- -2.1)
Niedersachsen,91 (14 -- 201),Unsure,0.97 (0.5 -- 1.4),-0.01 (-0.14 -- 0.12),-72.5 (6 -- -5.1)
Nordrhein-Westfalen,138 (40 -- 267),Likely decreasing,0.81 (0.52 -- 1.14),-0.05 (-0.14 -- 0.04),-13 (16.2 -- -5)
Rheinland-Pfalz,77 (15 -- 143),Unsure,1.02 (0.62 -- 1.32),0.01 (-0.11 -- 0.09),107.4 (7.5 -- -6.6)
Saarland,20 (6 -- 36),Unsure,1.11 (0.83 -- 1.41),0.03 (-0.05 -- 0.11),22.7 (6.3 -- -15)
Sachsen,27 (4 -- 71),Unsure,1.06 (0.53 -- 1.62),0.01 (-0.14 -- 0.16),46.2 (4.4 -- -4.9)
Sachsen-Anhalt,11 (2 -- 20),Unsure,1.01 (0.64 -- 1.3),0 (-0.1 -- 0.08),292.4 (8.4 -- -6.9)
Schleswig-Holstein,16 (4 -- 33),Unsure,0.9 (0.6 -- 1.19),-0.03 (-0.11 -- 0.06),-25.9 (12.3 -- -6.2)
Thüringen,19 (6 -- 39),Unsure,1.1 (0.78 -- 1.45),0.03 (-0.06 -- 0.12),25 (5.6 -- -12.4)
