region,date,confirm
East of England,2020-10-01,3
England,2020-10-01,56
London,2020-10-01,5
Midlands,2020-10-01,10
North East and Yorkshire,2020-10-01,11
North West,2020-10-01,20
Northern Ireland,2020-10-01,1
Scotland,2020-10-01,4
South East,2020-10-01,5
South West,2020-10-01,1
Wales,2020-10-01,5
United Kingdom,2020-10-01,66
East of England,2020-10-02,1
England,2020-10-02,63
London,2020-10-02,3
Midlands,2020-10-02,6
North East and Yorkshire,2020-10-02,26
North West,2020-10-02,24
Northern Ireland,2020-10-02,2
Scotland,2020-10-02,1
South East,2020-10-02,2
South West,2020-10-02,1
Wales,2020-10-02,2
United Kingdom,2020-10-02,68
East of England,2020-10-03,1
England,2020-10-03,55
London,2020-10-03,2
Midlands,2020-10-03,12
North East and Yorkshire,2020-10-03,14
North West,2020-10-03,23
Northern Ireland,2020-10-03,1
Scotland,2020-10-03,2
South East,2020-10-03,2
South West,2020-10-03,1
Wales,2020-10-03,8
United Kingdom,2020-10-03,66
East of England,2020-10-04,1
England,2020-10-04,54
London,2020-10-04,2
Midlands,2020-10-04,12
North East and Yorkshire,2020-10-04,15
North West,2020-10-04,19
Northern Ireland,2020-10-04,0
Scotland,2020-10-04,3
South East,2020-10-04,2
South West,2020-10-04,3
Wales,2020-10-04,3
United Kingdom,2020-10-04,60
East of England,2020-10-05,1
England,2020-10-05,59
London,2020-10-05,9
Midlands,2020-10-05,8
North East and Yorkshire,2020-10-05,17
North West,2020-10-05,21
Northern Ireland,2020-10-05,1
Scotland,2020-10-05,0
South East,2020-10-05,2
South West,2020-10-05,1
Wales,2020-10-05,10
United Kingdom,2020-10-05,70
East of England,2020-10-06,4
England,2020-10-06,61
London,2020-10-06,5
Midlands,2020-10-06,10
North East and Yorkshire,2020-10-06,19
North West,2020-10-06,21
Northern Ireland,2020-10-06,1
Scotland,2020-10-06,3
South East,2020-10-06,1
South West,2020-10-06,1
Wales,2020-10-06,4
United Kingdom,2020-10-06,69
East of England,2020-10-07,8
England,2020-10-07,82
London,2020-10-07,6
Midlands,2020-10-07,10
North East and Yorkshire,2020-10-07,24
North West,2020-10-07,29
Northern Ireland,2020-10-07,1
Scotland,2020-10-07,8
South East,2020-10-07,4
South West,2020-10-07,1
Wales,2020-10-07,11
United Kingdom,2020-10-07,102
East of England,2020-10-08,3
England,2020-10-08,75
London,2020-10-08,5
Midlands,2020-10-08,13
North East and Yorkshire,2020-10-08,23
North West,2020-10-08,25
Northern Ireland,2020-10-08,0
Scotland,2020-10-08,11
South East,2020-10-08,5
South West,2020-10-08,1
Wales,2020-10-08,6
United Kingdom,2020-10-08,92
East of England,2020-10-09,2
England,2020-10-09,67
London,2020-10-09,7
Midlands,2020-10-09,8
North East and Yorkshire,2020-10-09,19
North West,2020-10-09,26
Northern Ireland,2020-10-09,0
Scotland,2020-10-09,6
South East,2020-10-09,2
South West,2020-10-09,2
Wales,2020-10-09,6
United Kingdom,2020-10-09,79
East of England,2020-10-10,6
England,2020-10-10,90
London,2020-10-10,5
Midlands,2020-10-10,6
North East and Yorkshire,2020-10-10,30
North West,2020-10-10,38
Northern Ireland,2020-10-10,0
Scotland,2020-10-10,10
South East,2020-10-10,3
South West,2020-10-10,1
Wales,2020-10-10,3
United Kingdom,2020-10-10,103
East of England,2020-10-11,4
England,2020-10-11,104
London,2020-10-11,5
Midlands,2020-10-11,20
North East and Yorkshire,2020-10-11,25
North West,2020-10-11,39
Northern Ireland,2020-10-11,6
Scotland,2020-10-11,9
South East,2020-10-11,5
South West,2020-10-11,5
Wales,2020-10-11,4
United Kingdom,2020-10-11,123
East of England,2020-10-12,3
England,2020-10-12,96
London,2020-10-12,5
Midlands,2020-10-12,11
North East and Yorkshire,2020-10-12,24
North West,2020-10-12,41
Northern Ireland,2020-10-12,5
Scotland,2020-10-12,7
South East,2020-10-12,8
South West,2020-10-12,4
Wales,2020-10-12,4
United Kingdom,2020-10-12,112
East of England,2020-10-13,2
England,2020-10-13,87
London,2020-10-13,5
Midlands,2020-10-13,18
North East and Yorkshire,2020-10-13,24
North West,2020-10-13,32
Northern Ireland,2020-10-13,4
Scotland,2020-10-13,11
South East,2020-10-13,3
South West,2020-10-13,2
Wales,2020-10-13,8
United Kingdom,2020-10-13,110
East of England,2020-10-14,2
England,2020-10-14,100
London,2020-10-14,4
Midlands,2020-10-14,19
North East and Yorkshire,2020-10-14,31
North West,2020-10-14,37
Northern Ireland,2020-10-14,2
Scotland,2020-10-14,6
South East,2020-10-14,3
South West,2020-10-14,3
Wales,2020-10-14,7
United Kingdom,2020-10-14,115
East of England,2020-10-15,5
England,2020-10-15,124
London,2020-10-15,12
Midlands,2020-10-15,26
North East and Yorkshire,2020-10-15,29
North West,2020-10-15,44
Northern Ireland,2020-10-15,4
Scotland,2020-10-15,16
South East,2020-10-15,6
South West,2020-10-15,2
Wales,2020-10-15,7
United Kingdom,2020-10-15,151
East of England,2020-10-16,6
England,2020-10-16,123
London,2020-10-16,7
Midlands,2020-10-16,22
North East and Yorkshire,2020-10-16,35
North West,2020-10-16,44
Northern Ireland,2020-10-16,2
Scotland,2020-10-16,16
South East,2020-10-16,3
South West,2020-10-16,5
Wales,2020-10-16,6
United Kingdom,2020-10-16,147
