Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Africa,22348 (11802 -- 28340),Likely increasing,1 (0.78 -- 1.1),0.008 (-0.062 -- 0.025),86 (28 -- -11)
Americas,176842 (111529 -- 259032),Unsure,0.87 (0.72 -- 1),-0.036 (-0.081 -- 0.0044),-19 (160 -- -8.6)
Asia,72690 (55470 -- 96567),Unsure,1 (0.85 -- 1.2),-0.00032 (-0.043 -- 0.046),-2200 (15 -- -16)
Europe,183255 (135999 -- 253634),Unsure,0.96 (0.84 -- 1.1),-0.0096 (-0.046 -- 0.036),-72 (19 -- -15)
Global,434474 (345582 -- 539167),Unsure,0.91 (0.82 -- 1),-0.024 (-0.05 -- 0.0017),-29 (400 -- -14)
Oceania,66 (30 -- 134),Likely decreasing,0.9 (0.72 -- 1.1),-0.027 (-0.082 -- 0.027),-26 (26 -- -8.5)
