region,date,confirm
Americas,2020-10-07,126616
Oceania,2020-10-07,93
Global,2020-10-07,326777
Asia,2020-10-08,117544
Europe,2020-10-08,102796
Africa,2020-10-08,10504
Americas,2020-10-08,122709
Oceania,2020-10-08,73
Global,2020-10-08,353626
Asia,2020-10-09,110063
Europe,2020-10-09,114233
Africa,2020-10-09,9758
Americas,2020-10-09,128852
Oceania,2020-10-09,150
Global,2020-10-09,363056
Asia,2020-10-10,105642
Europe,2020-10-10,101244
Africa,2020-10-10,11220
Americas,2020-10-10,130668
Oceania,2020-10-10,484
Global,2020-10-10,349258
Asia,2020-10-11,109155
Europe,2020-10-11,111782
Africa,2020-10-11,11839
Americas,2020-10-11,116543
Oceania,2020-10-11,107
Global,2020-10-11,349426
Asia,2020-10-12,96992
Europe,2020-10-12,112715
Africa,2020-10-12,7776
Americas,2020-10-12,86549
Oceania,2020-10-12,25
Global,2020-10-12,304057
Asia,2020-10-13,93703
Europe,2020-10-13,97891
Africa,2020-10-13,6333
Americas,2020-10-13,86517
Oceania,2020-10-13,623
Global,2020-10-13,285067
Asia,2020-10-14,100286
Europe,2020-10-14,121127
Africa,2020-10-14,9107
Americas,2020-10-14,100068
Oceania,2020-10-14,139
Global,2020-10-14,330727
Asia,2020-10-15,103513
Europe,2020-10-15,147730
Africa,2020-10-15,11383
Americas,2020-10-15,125343
Oceania,2020-10-15,426
Global,2020-10-15,388395
Asia,2020-10-16,101553
Europe,2020-10-16,160456
Africa,2020-10-16,8693
Americas,2020-10-16,131739
Oceania,2020-10-16,178
Global,2020-10-16,402619
Asia,2020-10-17,100748
Europe,2020-10-17,146600
Africa,2020-10-17,9586
Americas,2020-10-17,140135
Oceania,2020-10-17,366
Global,2020-10-17,397435
Asia,2020-10-18,96955
Europe,2020-10-18,141750
Africa,2020-10-18,14155
Americas,2020-10-18,117538
Oceania,2020-10-18,86
Global,2020-10-18,370484
Asia,2020-10-19,92055
Europe,2020-10-19,171014
Africa,2020-10-19,8295
Americas,2020-10-19,90581
Oceania,2020-10-19,65
Global,2020-10-19,362010
Asia,2020-10-20,81199
Europe,2020-10-20,146751
Africa,2020-10-20,9618
Americas,2020-10-20,111039
Oceania,2020-10-20,93
Global,2020-10-20,348700
Asia,2020-10-21,92299
Europe,2020-10-21,165994
Africa,2020-10-21,9724
Americas,2020-10-21,126033
Oceania,2020-10-21,938
Global,2020-10-21,394988
Asia,2020-10-22,98369
Europe,2020-10-22,208675
Africa,2020-10-22,10534
Americas,2020-10-22,134502
Oceania,2020-10-22,162
Global,2020-10-22,452242
Asia,2020-10-23,97469
Europe,2020-10-23,221118
Africa,2020-10-23,10961
Americas,2020-10-23,142348
Oceania,2020-10-23,608
Global,2020-10-23,472504
Asia,2020-10-24,96971
Europe,2020-10-24,217483
Africa,2020-10-24,10409
Americas,2020-10-24,163098
Oceania,2020-10-24,812
Global,2020-10-24,488773
Asia,2020-10-25,93601
Europe,2020-10-25,202623
Africa,2020-10-25,11864
Americas,2020-10-25,151430
Oceania,2020-10-25,92
Global,2020-10-25,459610
Asia,2020-10-26,83565
Europe,2020-10-26,239074
Africa,2020-10-26,8931
Americas,2020-10-26,107325
Oceania,2020-10-26,35
Global,2020-10-26,438930
Asia,2020-10-27,72794
Europe,2020-10-27,210039
Africa,2020-10-27,10808
Americas,2020-10-27,122084
Oceania,2020-10-27,190
Global,2020-10-27,415915
Asia,2020-10-28,86384
Europe,2020-10-28,238405
Africa,2020-10-28,8671
Americas,2020-10-28,145162
Oceania,2020-10-28,750
Global,2020-10-28,479372
Asia,2020-10-29,93455
Europe,2020-10-29,259102
Africa,2020-10-29,11949
Americas,2020-10-29,148901
Oceania,2020-10-29,54
Global,2020-10-29,513461
Asia,2020-10-30,93791
Europe,2020-10-30,279763
Africa,2020-10-30,14758
Americas,2020-10-30,159001
Oceania,2020-10-30,788
Global,2020-10-30,548101
Asia,2020-10-31,91432
Europe,2020-10-31,270122
Africa,2020-10-31,11506
Americas,2020-10-31,168863
Oceania,2020-10-31,235
Global,2020-10-31,542158
Asia,2020-11-01,87954
Europe,2020-11-01,221492
Africa,2020-11-01,10580
Americas,2020-11-01,137950
Oceania,2020-11-01,23
Global,2020-11-01,457999
Asia,2020-11-02,86657
Europe,2020-11-02,268104
Africa,2020-11-02,9573
Americas,2020-11-02,122885
Oceania,2020-11-02,13
Global,2020-11-02,487232
Asia,2020-11-03,82993
Europe,2020-11-03,253083
Africa,2020-11-03,6846
Americas,2020-11-03,127560
Oceania,2020-11-03,12
Global,2020-11-03,470494
Asia,2020-11-04,94092
Europe,2020-11-04,256945
Africa,2020-11-04,11048
Americas,2020-11-04,141388
Oceania,2020-11-04,1526
Global,2020-11-04,504999
Asia,2020-11-05,97943
Europe,2020-11-05,294049
Africa,2020-11-05,14179
Americas,2020-11-05,163312
Oceania,2020-11-05,408
Global,2020-11-05,569891
Asia,2020-11-06,97424
Europe,2020-11-06,313274
Africa,2020-11-06,15255
Americas,2020-11-06,185980
Oceania,2020-11-06,454
Global,2020-11-06,612387
Asia,2020-11-07,100310
Europe,2020-11-07,297194
Africa,2020-11-07,11959
Americas,2020-11-07,195968
Oceania,2020-11-07,590
Global,2020-11-07,606021
Asia,2020-11-08,95645
Europe,2020-11-08,303343
Africa,2020-11-08,14972
Americas,2020-11-08,179060
Oceania,2020-11-08,254
Global,2020-11-08,593274
Asia,2020-11-09,93764
Europe,2020-11-09,268646
Africa,2020-11-09,12552
Americas,2020-11-09,153743
Oceania,2020-11-09,132
Global,2020-11-09,528837
Asia,2020-11-10,85869
Europe,2020-11-10,228036
Africa,2020-11-10,8581
Americas,2020-11-10,179789
Oceania,2020-11-10,13
Global,2020-11-10,502288
Asia,2020-11-11,95959
Europe,2020-11-11,245999
Africa,2020-11-11,13110
Americas,2020-11-11,210745
Oceania,2020-11-11,1122
Global,2020-11-11,566935
Asia,2020-11-12,101472
Europe,2020-11-12,276555
Africa,2020-11-12,12847
Americas,2020-11-12,232233
Oceania,2020-11-12,404
Global,2020-11-12,623511
Asia,2020-11-13,99593
Europe,2020-11-13,299473
Africa,2020-11-13,17167
Americas,2020-11-13,230810
Oceania,2020-11-13,456
Global,2020-11-13,647499
Asia,2020-11-14,99004
Europe,2020-11-14,265501
Africa,2020-11-14,14266
Americas,2020-11-14,256806
Oceania,2020-11-14,252
Global,2020-11-14,635829
Asia,2020-11-15,94326
Europe,2020-11-15,244465
Africa,2020-11-15,13401
Americas,2020-11-15,242005
Oceania,2020-11-15,273
Global,2020-11-15,594470
Asia,2020-11-16,79168
Europe,2020-11-16,244807
Africa,2020-11-16,13350
Americas,2020-11-16,177041
Oceania,2020-11-16,172
Global,2020-11-16,514538
Asia,2020-11-17,82354
Europe,2020-11-17,238399
Africa,2020-11-17,9992
Americas,2020-11-17,213704
Oceania,2020-11-17,32
Global,2020-11-17,544481
Asia,2020-11-18,92551
Europe,2020-11-18,255406
Africa,2020-11-18,13290
Americas,2020-11-18,221192
Oceania,2020-11-18,540
Global,2020-11-18,582979
Asia,2020-11-19,106203
Europe,2020-11-19,263735
Africa,2020-11-19,15091
Americas,2020-11-19,240138
Oceania,2020-11-19,603
Global,2020-11-19,625770
Asia,2020-11-20,94595
Europe,2020-11-20,270576
Africa,2020-11-20,14012
Americas,2020-11-20,261706
Oceania,2020-11-20,81
Global,2020-11-20,640970
Asia,2020-11-21,124844
Europe,2020-11-21,265118
Africa,2020-11-21,15679
Americas,2020-11-21,273839
Oceania,2020-11-21,278
Global,2020-11-21,679758
Asia,2020-11-22,104008
Europe,2020-11-22,209433
Africa,2020-11-22,13574
Americas,2020-11-22,244742
Oceania,2020-11-22,286
Global,2020-11-22,572043
Asia,2020-11-23,103231
Europe,2020-11-23,193595
Africa,2020-11-23,8797
Americas,2020-11-23,213218
Oceania,2020-11-23,17
Global,2020-11-23,518858
Asia,2020-11-24,98915
Europe,2020-11-24,195949
Africa,2020-11-24,13238
Americas,2020-11-24,225357
Oceania,2020-11-24,68
Global,2020-11-24,533527
Asia,2020-11-25,94192
Europe,2020-11-25,212868
Africa,2020-11-25,13101
Americas,2020-11-25,241100
Oceania,2020-11-25,444
Global,2020-11-25,561705
Asia,2020-11-26,123989
Europe,2020-11-26,233270
Africa,2020-11-26,14451
Americas,2020-11-26,277712
Oceania,2020-11-26,257
Global,2020-11-26,649679
Asia,2020-11-27,109107
Europe,2020-11-27,238686
Africa,2020-11-27,13312
Americas,2020-11-27,188688
Oceania,2020-11-27,344
Global,2020-11-27,550137
