region,time
East of England,9.7
England,16
London,8.2
Midlands,13.9
North East and Yorkshire,10.1
North West,8.9
Northern Ireland,7.4
Scotland,10.2
South East,8.8
South West,8.7
Wales,13.4
United Kingdom,16
