Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Barking and Dagenham,0 (0 -- 0),Likely decreasing,0.84 (0.6 -- 1.2),-0.044 (-0.12 -- 0.062),-16 (11 -- -6)
Barnet,0 (0 -- 1),Likely decreasing,0.9 (0.67 -- 1.2),-0.027 (-0.097 -- 0.043),-25 (16 -- -7.2)
Barnsley,0 (0 -- 1),Likely decreasing,0.84 (0.56 -- 1.1),-0.046 (-0.13 -- 0.026),-15 (26 -- -5.3)
Bath and North East Somerset,0 (0 -- 0),Likely decreasing,0.68 (0.16 -- 1.1),-0.091 (-0.27 -- 0.033),-7.6 (21 -- -2.5)
Bedford,0 (0 -- 0),Likely decreasing,0.85 (0.66 -- 1.1),-0.042 (-0.1 -- 0.029),-17 (24 -- -6.9)
Bexley,0 (0 -- 0),Likely decreasing,0.84 (0.58 -- 1.2),-0.045 (-0.12 -- 0.046),-16 (15 -- -5.6)
Birmingham,2 (1 -- 5),Likely decreasing,0.83 (0.6 -- 1.1),-0.048 (-0.12 -- 0.03),-15 (23 -- -5.9)
Blackburn with Darwen,0 (0 -- 1),Likely decreasing,0.86 (0.62 -- 1.2),-0.039 (-0.11 -- 0.053),-18 (13 -- -6.2)
Blackpool,0 (0 -- 0),Likely decreasing,0.54 (0.13 -- 1.1),-0.14 (-0.29 -- 0.016),-5.1 (44 -- -2.4)
Bolton,1 (0 -- 3),Likely decreasing,0.96 (0.77 -- 1.3),-0.011 (-0.066 -- 0.068),-65 (10 -- -10)
"Bournemouth, Christchurch and Poole",0 (0 -- 1),Likely decreasing,0.9 (0.39 -- 1.9),-0.029 (-0.19 -- 0.22),-24 (3.2 -- -3.7)
Bracknell Forest,0 (0 -- 0),Decreasing,0.64 (0.15 -- 0.95),-0.11 (-0.29 -- -0.014),-6.5 (-48 -- -2.4)
Bradford,3 (1 -- 7),Likely decreasing,0.92 (0.69 -- 1.1),-0.022 (-0.088 -- 0.029),-31 (24 -- -7.9)
Brent,0 (0 -- 2),Stable,0.96 (0.69 -- 1.3),-0.011 (-0.089 -- 0.077),-65 (9 -- -7.8)
Brighton and Hove,0 (0 -- 0),Likely decreasing,0.43 (0.059 -- 1.1),-0.18 (-0.33 -- 0.023),-3.9 (30 -- -2.1)
"Bristol, City of",0 (0 -- 2),Likely decreasing,0.95 (0.7 -- 1.3),-0.013 (-0.087 -- 0.072),-52 (9.6 -- -8)
Bromley,0 (0 -- 0),Likely decreasing,0.78 (0.4 -- 1.2),-0.062 (-0.18 -- 0.05),-11 (14 -- -3.8)
Buckinghamshire,0 (0 -- 3),Stable,0.95 (0.72 -- 1.6),-0.015 (-0.081 -- 0.14),-46 (4.8 -- -8.6)
Bury,0 (0 -- 0),Decreasing,0.73 (0.41 -- 0.96),-0.078 (-0.18 -- -0.011),-8.9 (-66 -- -3.8)
Calderdale,0 (0 -- 2),Stable,0.97 (0.6 -- 1.8),-0.009 (-0.12 -- 0.21),-77 (3.3 -- -5.8)
Cambridgeshire,1 (0 -- 5),Stable,1 (0.78 -- 1.6),0.0091 (-0.063 -- 0.14),76 (4.8 -- -11)
Camden,0 (0 -- 0),Likely decreasing,0.88 (0.64 -- 1.2),-0.035 (-0.1 -- 0.054),-20 (13 -- -6.7)
Central Bedfordshire,0 (0 -- 0),Likely decreasing,0.85 (0.65 -- 1.1),-0.042 (-0.1 -- 0.029),-16 (24 -- -6.8)
Cheshire East,0 (0 -- 1),Likely decreasing,0.81 (0.56 -- 1.1),-0.054 (-0.13 -- 0.016),-13 (44 -- -5.3)
Cheshire West and Chester,0 (0 -- 1),Likely decreasing,0.83 (0.48 -- 1.3),-0.048 (-0.16 -- 0.078),-14 (8.8 -- -4.4)
Cornwall,0 (0 -- 1),Likely decreasing,0.81 (0.4 -- 1.5),-0.054 (-0.19 -- 0.13),-13 (5.5 -- -3.7)
County Durham,0 (0 -- 1),Decreasing,0.84 (0.7 -- 0.96),-0.046 (-0.087 -- -0.01),-15 (-67 -- -7.9)
Coventry,0 (0 -- 1),Likely decreasing,0.85 (0.51 -- 1.3),-0.042 (-0.15 -- 0.087),-16 (7.9 -- -4.7)
Croydon,0 (0 -- 0),Decreasing,0.79 (0.56 -- 0.98),-0.061 (-0.13 -- -0.0045),-11 (-150 -- -5.4)
Cumbria,1 (0 -- 5),Likely increasing,1.1 (0.77 -- 1.6),0.023 (-0.066 -- 0.15),31 (4.5 -- -10)
Darlington,0 (0 -- 0),Likely decreasing,0.86 (0.68 -- 1),-0.039 (-0.094 -- 0.0063),-18 (110 -- -7.4)
