Country,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Afghanistan,16 (4 -- 70),Unsure,1 (0.71 -- 1.6),0.0046 (-0.084 -- 0.14),150 (4.8 -- -8.2)
Albania,4 (1 -- 14),Unsure,0.81 (0.51 -- 1.1),-0.054 (-0.15 -- 0.038),-13 (18 -- -4.8)
Algeria,5 (0 -- 32),Unsure,0.87 (0.45 -- 1.4),-0.038 (-0.17 -- 0.11),-18 (6.1 -- -4.1)
Andorra,0 (0 -- 74),Unsure,1.1 (0.2 -- 3.6),0.039 (-0.26 -- 0.58),18 (1.2 -- -2.7)
Angola,2 (0 -- 14),Unsure,1 (0.66 -- 1.5),0.0095 (-0.099 -- 0.13),73 (5.2 -- -7)
Argentina,112 (65 -- 258),Likely decreasing,0.94 (0.83 -- 1.2),-0.016 (-0.048 -- 0.042),-44 (17 -- -15)
Armenia,14 (3 -- 57),Unsure,0.93 (0.55 -- 1.5),-0.02 (-0.13 -- 0.12),-35 (5.8 -- -5.3)
Aruba,0 (0 -- 0),Likely decreasing,0.85 (0.24 -- 1.7),-0.042 (-0.24 -- 0.17),-17 (4 -- -2.9)
Australia,0 (0 -- 0),Likely decreasing,0.51 (0.0048 -- 2.2),-0.15 (-0.37 -- 0.28),-4.7 (2.4 -- -1.9)
Austria,142 (49 -- 531),Unsure,1.1 (0.75 -- 1.6),0.015 (-0.071 -- 0.15),47 (4.5 -- -9.7)
Azerbaijan,36 (16 -- 76),Unsure,0.96 (0.73 -- 1.2),-0.01 (-0.076 -- 0.062),-67 (11 -- -9.1)
Bahamas,28 (0 -- 2216),Unsure,2.5 (0.67 -- 7.3),0.35 (-0.097 -- 1.2),2 (0.56 -- -7.2)
Bahrain,0 (0 -- 1),Likely decreasing,0.86 (0.38 -- 1.4),-0.04 (-0.19 -- 0.1),-17 (6.8 -- -3.6)
Bangladesh,17 (6 -- 46),Unsure,0.88 (0.62 -- 1.2),-0.033 (-0.11 -- 0.053),-21 (13 -- -6.3)
Belarus,7 (2 -- 25),Unsure,0.97 (0.64 -- 1.4),-0.0076 (-0.1 -- 0.1),-92 (6.9 -- -6.6)
Belgium,3 (0 -- 19),Unsure,0.32 (0.073 -- 0.76),-0.21 (-0.33 -- -0.069),-3.3 (-10 -- -2.1)
Belize,2 (0 -- 11),Unsure,0.92 (0.49 -- 1.4),-0.023 (-0.16 -- 0.11),-30 (6.3 -- -4.4)
Bolivia,11 (1 -- 1336),Unsure,1.4 (0.78 -- 5.2),0.093 (-0.062 -- 0.87),7.4 (0.79 -- -11)
Bosnia & Herzegovina,30 (4 -- 120),Unsure,0.88 (0.42 -- 1.4),-0.034 (-0.18 -- 0.1),-21 (6.6 -- -3.9)
Brazil,1198 (552 -- 2696),Unsure,1.1 (0.86 -- 1.4),0.024 (-0.039 -- 0.1),29 (7 -- -18)
Bulgaria,56 (21 -- 123),Unsure,0.84 (0.6 -- 1.1),-0.045 (-0.12 -- 0.021),-15 (33 -- -6)
Burkina Faso,2 (0 -- 101),Unsure,1.3 (0.24 -- 2.9),0.073 (-0.24 -- 0.45),9.5 (1.5 -- -2.8)
Cameroon,0 (0 -- 4),Unsure,0.99 (0.47 -- 1.6),-0.0015 (-0.16 -- 0.16),-450 (4.3 -- -4.3)
Canada,92 (13 -- 233),Unsure,0.94 (0.41 -- 1.2),-0.017 (-0.18 -- 0.055),-41 (13 -- -3.8)
Cape Verde,0 (0 -- 8),Unsure,0.98 (0.4 -- 2),-0.0059 (-0.18 -- 0.25),-120 (2.8 -- -3.8)
Chad,0 (0 -- 0),Likely decreasing,0.68 (0.053 -- 1.5),-0.093 (-0.34 -- 0.12),-7.4 (5.6 -- -2.1)
Chile,36 (24 -- 71),Unsure,1 (0.9 -- 1.2),-0.00074 (-0.027 -- 0.048),-930 (15 -- -25)
China,2 (0 -- 47),Unsure,1 (0.13 -- 2.2),0.011 (-0.3 -- 0.29),61 (2.4 -- -2.3)
Colombia,421 (253 -- 870),Unsure,1.2 (1 -- 1.5),0.048 (0.0025 -- 0.13),14 (5.5 -- 280)
Congo - Kinshasa,320 (21 -- 19513),Unsure,2.1 (1.1 -- 5.4),0.26 (0.029 -- 0.9),2.6 (0.77 -- 24)
Costa Rica,14 (1 -- 36),Unsure,0.99 (0.43 -- 1.2),-0.0028 (-0.17 -- 0.059),-250 (12 -- -4)
Croatia,90 (32 -- 193),Likely increasing,1 (0.7 -- 1.3),0.0012 (-0.088 -- 0.072),570 (9.6 -- -7.9)
