region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
United States,4678 (2899 -- 8849),4678,5134,2068,2899,3852,4336,5088,5965,8849,New confirmed cases by infection date,Likely increasing,0.15
United Kingdom,2385 (1181 -- 4562),2385,2582,1130,1181,1846,2172,2632,3098,4562,New confirmed cases by infection date,Likely increasing,0.08
Germany,1316 (753 -- 2615),1316,1448,624,753,1054,1208,1442,1669,2615,New confirmed cases by infection date,Likely increasing,0.14
Mexico,1302 (825 -- 2732),1302,1486,749,825,1056,1201,1421,1680,2732,New confirmed cases by infection date,Likely increasing,0.11
Brazil,1259 (676 -- 2768),1259,1442,762,676,983,1146,1399,1678,2768,New confirmed cases by infection date,Likely increasing,0.24
South Africa,1018 (357 -- 2435),1018,1156,711,357,693,878,1167,1451,2435,New confirmed cases by infection date,Likely increasing,0.26
Italy,625 (263 -- 1343),625,689,348,263,461,553,696,839,1343,New confirmed cases by infection date,Likely increasing,0.37
Colombia,519 (371 -- 775),519,540,142,371,457,494,545,593,775,New confirmed cases by infection date,Likely increasing,0.064
Portugal,503 (177 -- 1250),503,588,375,177,345,436,586,733,1250,New confirmed cases by infection date,Likely increasing,0.1
Philippines,492 (73 -- 10758),492,2692,10689,73,200,341,723,1488,10758,New confirmed cases by infection date,Increasing,0.018
Russia,474 (359 -- 731),474,499,123,359,422,453,499,546,731,New confirmed cases by infection date,Stable,0.54
Malawi,450 (44 -- 3989),450,1299,3979,44,199,330,635,1092,3989,New confirmed cases by infection date,Increasing,0.042
Poland,431 (135 -- 1809),431,694,1610,135,264,354,520,732,1809,New confirmed cases by infection date,Likely increasing,0.31
France,391 (126 -- 1184),391,505,482,126,255,336,461,602,1184,New confirmed cases by infection date,Stable,0.47
Indonesia,314 (209 -- 487),314,326,92,209,271,297,330,363,487,New confirmed cases by infection date,Likely increasing,0.16
Lebanon,242 (81 -- 827),242,322,326,81,153,206,284,373,827,New confirmed cases by infection date,Increasing,0.006
