"dataset","subregion","start_date","runtime","start_date_1","runtime_1","start_date_2","runtime_2","start_date_3","runtime_3","start_date_4","runtime_4"
"deaths","Mexico",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,2082.604,2020-09-26 21:20:21,1310.761,2020-09-21 05:32:03,786.344,2020-09-20 04:57:51,880.078
"deaths","Moldova",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,1942.566,2020-09-26 21:20:21,1396.896,2020-09-21 05:32:03,806.974,2020-09-20 04:57:51,963.62
"deaths","Montenegro",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,2060.694,2020-09-26 21:20:21,1131.562,2020-09-21 05:32:03,772.613,2020-09-20 04:57:51,585.41
"deaths","Morocco",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,2873.532,2020-09-26 21:20:21,2106.246,2020-09-21 05:32:03,1252.151,2020-09-20 04:57:51,1048.586
"deaths","Mozambique",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,1912.991,2020-09-26 21:20:21,949.105,2020-09-21 05:32:03,799.691,2020-09-20 04:57:51,737.149
"deaths","Namibia",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,2788.28,2020-09-26 21:20:21,1737.652,2020-09-21 05:32:03,771.035,2020-09-20 04:57:51,1497.109
"deaths","Nepal",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,3152.322,2020-09-26 21:20:21,1954.53,2020-09-21 05:32:03,1562.087,2020-09-20 04:57:51,1863.923
"deaths","Netherlands",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,4654.946,2020-09-26 21:20:21,3753.792,2020-09-21 05:32:03,2395.792,2020-09-20 04:57:51,2294.494
"deaths","Nigeria",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,2850.317,2020-09-26 21:20:21,1403.343,2020-09-21 05:32:03,715.387,2020-09-20 04:57:51,1321.225
"deaths","North Macedonia",2020-09-30 00:04:35,-1,2020-09-28 10:23:54,2287.143,2020-09-26 21:20:21,1185.778,2020-09-21 05:32:03,760.143,2020-09-20 04:57:51,642.373
"deaths","Norway",2020-09-26 21:20:21,660.179,2020-09-18 16:34:04,598.385,2020-09-17 17:27:56,598.808,NA,NA,NA,NA
