region,time
East of England,18.8
England,40.1
London,42.3
Midlands,46.6
North East and Yorkshire,29.3
North West,16.8
Northern Ireland,17.9
Scotland,14.7
South East,28
South West,25.6
Wales,44.6
United Kingdom,49.4
