Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Aberdeen City,3 (0 -- 26),Likely increasing,1.1 (0.8 -- 1.6),0.031 (-0.056 -- 0.16),23 (4.2 -- -12)
Aberdeenshire,3 (0 -- 35),Likely increasing,1.1 (0.52 -- 1.8),0.033 (-0.14 -- 0.21),21 (3.3 -- -4.8)
Angus,0 (0 -- 10),Likely increasing,1.1 (0.65 -- 1.8),0.021 (-0.1 -- 0.21),33 (3.4 -- -6.8)
Antrim and Newtownabbey,2 (0 -- 10),Likely increasing,1.1 (0.78 -- 1.4),0.019 (-0.062 -- 0.097),37 (7.2 -- -11)
Ards and North Down,1 (0 -- 9),Likely increasing,1.1 (0.59 -- 1.6),0.024 (-0.12 -- 0.16),29 (4.4 -- -5.7)
Argyll and Bute,0 (0 -- 1),Stable,0.99 (0.55 -- 1.4),-0.0027 (-0.13 -- 0.1),-260 (6.8 -- -5.2)
"Armagh City, Banbridge and Craigavon",3 (0 -- 35),Likely increasing,1.1 (0.36 -- 1.8),0.025 (-0.2 -- 0.2),28 (3.5 -- -3.5)
Barking and Dagenham,9 (4 -- 22),Likely increasing,1.1 (0.9 -- 1.3),0.028 (-0.029 -- 0.085),25 (8.2 -- -24)
Barnet,12 (0 -- 40),Stable,1.1 (0.32 -- 1.4),0.02 (-0.21 -- 0.11),34 (6.4 -- -3.3)
Barnsley,0 (0 -- 8),Likely decreasing,0.75 (0.25 -- 1.5),-0.072 (-0.24 -- 0.12),-9.6 (5.9 -- -2.9)
Bath and North East Somerset,1 (0 -- 32),Stable,1 (0.42 -- 2.5),0.0075 (-0.18 -- 0.35),93 (2 -- -3.9)
Bedford,10 (4 -- 41),Likely increasing,1.2 (1 -- 1.6),0.043 (-0.00085 -- 0.15),16 (4.7 -- -810)
Belfast,1 (0 -- 16),Stable,1 (0.72 -- 1.7),0.0076 (-0.083 -- 0.17),92 (4.1 -- -8.4)
Bexley,8 (0 -- 53),Stable,1 (0.34 -- 1.6),-0.00026 (-0.21 -- 0.16),-2600 (4.2 -- -3.4)
Birmingham,34 (11 -- 99),Likely increasing,1.2 (0.85 -- 1.6),0.048 (-0.041 -- 0.15),14 (4.8 -- -17)
Blackburn with Darwen,4 (0 -- 29),Stable,1 (0.46 -- 1.6),0.011 (-0.16 -- 0.16),62 (4.2 -- -4.2)
Blackpool,1 (0 -- 9),Likely decreasing,0.82 (0.2 -- 1.5),-0.05 (-0.26 -- 0.12),-14 (5.5 -- -2.6)
Bolton,5 (1 -- 41),Likely increasing,1.1 (0.77 -- 1.9),0.039 (-0.065 -- 0.22),18 (3.2 -- -11)
"Bournemouth, Christchurch and Poole",54 (4 -- 332),Likely increasing,1.4 (0.58 -- 2.3),0.1 (-0.13 -- 0.32),6.7 (2.2 -- -5.5)
Bracknell Forest,5 (1 -- 41),Likely increasing,1.2 (0.85 -- 1.8),0.059 (-0.042 -- 0.21),12 (3.3 -- -17)
Bradford,8 (1 -- 168),Likely increasing,1.2 (0.82 -- 2.7),0.065 (-0.05 -- 0.38),11 (1.8 -- -14)
Brent,9 (1 -- 28),Likely increasing,1.1 (0.72 -- 1.5),0.038 (-0.08 -- 0.13),18 (5.4 -- -8.6)
Brighton and Hove,7 (1 -- 50),Likely increasing,1.2 (0.76 -- 1.7),0.049 (-0.068 -- 0.19),14 (3.7 -- -10)
"Bristol, City of",10 (1 -- 77),Likely increasing,1.2 (0.71 -- 2.1),0.064 (-0.085 -- 0.26),11 (2.6 -- -8.1)
Bromley,24 (2 -- 109),Likely increasing,1.2 (0.53 -- 1.7),0.047 (-0.14 -- 0.18),15 (3.8 -- -5)
Buckinghamshire,20 (10 -- 45),Likely increasing,1.2 (0.98 -- 1.4),0.043 (-0.0054 -- 0.097),16 (7.1 -- -130)
Bury,1 (0 -- 11),Stable,1 (0.64 -- 1.6),0.0023 (-0.11 -- 0.15),300 (4.6 -- -6.5)
Calderdale,1 (0 -- 11),Stable,1 (0.72 -- 1.7),0.007 (-0.079 -- 0.17),99 (4 -- -8.7)
Cambridgeshire,14 (5 -- 44),Likely increasing,1.2 (0.91 -- 1.5),0.049 (-0.024 -- 0.14),14 (5 -- -29)
Camden,2 (0 -- 20),Stable,0.98 (0.28 -- 1.6),-0.0058 (-0.23 -- 0.16),-120 (4.3 -- -3)
Causeway Coast and Glens,0 (0 -- 13),Stable,1 (0.57 -- 2),-8e-04 (-0.13 -- 0.24),-860 (2.9 -- -5.4)
Central Bedfordshire,10 (2 -- 23),Likely increasing,1.1 (0.78 -- 1.3),0.036 (-0.061 -- 0.086),19 (8.1 -- -11)
Cheshire East,6 (2 -- 15),Likely increasing,1.1 (0.93 -- 1.3),0.021 (-0.019 -- 0.084),33 (8.3 -- -36)
