region,time
Adygea Republic,11.1
Altai Krai,18.7
Altai Republic,10.5
Amur Oblast,11.9
Arkhangelsk Oblast,11.5
Astrakhan Oblast,7.4
Bashkortostan Republic,5.5
Belgorod Oblast,8.1
Bryansk Oblast,12.4
Buryatia Republic,15.4
Chechen Republic,4.2
Chelyabinsk Oblast,9.1
Chukotka Autonomous Okrug,3
Chuvashia Republic,7.5
Dagestan Republic,8.7
Ingushetia Republic,10.5
Irkutsk Oblast,11.9
Ivanovo Oblast,20.9
Jewish Autonomous Okrug,6.5
Kabardino-Balkarian Republic,11.1
Kaliningrad Oblast,6.8
Kalmykia Republic,4
Kaluga Oblast,7.8
Kamchatka Krai,8.6
Karachay-Cherkess Republic,21.9
Karelia Republic,15.9
Kemerovo Oblast,12.8
Khabarovsk Krai,10.1
Khakassia Republic,7.8
Khanty-Mansi Autonomous Okrug,14.4
Kirov Oblast,8.6
Komi Republic,14.9
Kostroma Oblast,6.9
Krasnodar Krai,13.1
Krasnoyarsk Krai,13.5
Kurgan Oblast,11.3
Kursk Oblast,10.7
Leningrad Oblast,10.5
Lipetsk Oblast,10.3
Magadan Oblast,11.9
Mari El Republic,9.1
Mordovia Republic,7.1
Moscow,28.1
Moscow Oblast,15.8
Murmansk Oblast,20.9
Nenets Autonomous Okrug,2.6
Nizhny Novgorod Oblast,27.4
North Ossetia - Alania Republic,17.9
Novgorod Oblast,7.5
Novosibirsk Oblast,18.8
Omsk Oblast,42.4
Orel Oblast,21.7
Orenburg Oblast,13
Penza Oblast,15.1
Perm Krai,8.2
Primorsky Krai,8.6
Pskov Oblast,7.8
Republic of Crimea,5.9
Rostov Oblast,14.7
Ryazan Oblast,10.8
Saint Petersburg,49.9
Sakha (Yakutiya) Republic,13.6
Sakhalin Oblast,11.4
Samara Oblast,11.6
Saratov Oblast,9.1
Sevastopol,5.5
Smolensk Oblast,9.3
Stavropol Krai,8.7
Sverdlovsk Oblast,15.6
Tambov Oblast,8.4
Tatarstan Republic,6.8
Tomsk Oblast,10.5
Tula Oblast,8.6
Tver Oblast,10.9
Tyumen Oblast,10.1
Tyva Republic,14.2
Udmurt Republic,15.5
Ulyanovsk Oblast,12.1
Vladimir Oblast,11.6
Volgograd Oblast,8.9
Vologda Oblast,5.7
Voronezh Oblast,10.1
Yamalo-Nenets Autonomous Okrug,17.5
Yaroslavl Oblast,7.1
Zabaykalsky Krai,14.3
