Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Africa,298 (133 -- 447),Unsure,1 (0.8 -- 1.1),0 (-0.06 -- 0.02),-256.9 (30.9 -- -12.5)
Americas,4068 (2294 -- 6102),Unsure,1 (0.9 -- 1.2),0.01 (-0.03 -- 0.04),69 (16.6 -- -21.1)
Asia,1905 (1347 -- 2429),Unsure,1 (0.9 -- 1.1),0 (-0.02 -- 0.02),147.8 (29.8 -- -28.6)
Europe,4510 (2495 -- 8479),Unsure,1 (0.8 -- 1.2),-0.01 (-0.06 -- 0.06),-92 (12.2 -- -11.5)
Global,10213 (6253 -- 15826),Unsure,1 (0.8 -- 1.1),0 (-0.04 -- 0.04),-207.8 (17.5 -- -15.5)
Oceania,1 (0 -- 8),Unsure,0.9 (0.3 -- 1.4),-0.03 (-0.22 -- 0.11),-20.3 (6.6 -- -3.1)
