region,point,lower,upper,mid_lower,mid_upper,central_lower,central_upper,metric,Expected change in daily cases
Flanders,842,206,1923,403,964,555,762,New confirmed cases by infection date,Likely decreasing
Wallonia,370,42,920,124,417,222,325,New confirmed cases by infection date,Decreasing
Brussels,72,12,182,30,85,34,53,New confirmed cases by infection date,Decreasing
Unknown,32,7,64,16,38,20,29,New confirmed cases by infection date,Decreasing
Flanders,0.8,0.4,1.2,0.6,0.8,0.7,0.8,Effective reproduction no.,Likely decreasing
Unknown,0.7,0.4,1,0.6,0.8,0.7,0.8,Effective reproduction no.,Decreasing
Brussels,0.6,0.3,0.9,0.4,0.6,0.5,0.6,Effective reproduction no.,Decreasing
Wallonia,0.5,0.2,0.9,0.4,0.6,0.4,0.5,Effective reproduction no.,Decreasing
