Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Brussels,149 (39 -- 313),Unsure,0.97 (0.59 -- 1.34),-0.01 (-0.11 -- 0.1),-93 (6.8 -- -6.5)
Flanders,245 (0 -- 507),Unsure,0.98 (0.39 -- 1.37),-0.01 (-0.21 -- 0.1),-104.9 (7.1 -- -3.3)
Unknown,8 (0 -- 25),Likely decreasing,0.72 (0.24 -- 1.11),-0.08 (-0.24 -- 0.04),-8.5 (19.2 -- -2.9)
Wallonia,133 (18 -- 335),Unsure,1 (0.57 -- 1.57),0 (-0.13 -- 0.15),918.8 (4.7 -- -5.5)
