Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Abruzzo,112 (71 -- 179),Likely decreasing,0.93 (0.81 -- 1.1),-0.019 (-0.055 -- 0.02),-36 (35 -- -13)
Basilicata,84 (38 -- 159),Likely decreasing,0.87 (0.64 -- 1.1),-0.037 (-0.11 -- 0.014),-19 (48 -- -6.6)
Calabria,237 (141 -- 370),Likely decreasing,0.86 (0.7 -- 1),-0.039 (-0.086 -- 0.00099),-18 (700 -- -8.1)
Campania,950 (546 -- 1581),Likely decreasing,0.83 (0.61 -- 1.1),-0.049 (-0.11 -- 0.017),-14 (41 -- -6.1)
Emilia-Romagna,447 (272 -- 679),Decreasing,0.79 (0.6 -- 0.97),-0.061 (-0.12 -- -0.0093),-11 (-75 -- -5.9)
Friuli Venezia Giulia,86 (35 -- 197),Likely decreasing,0.87 (0.59 -- 1.2),-0.038 (-0.12 -- 0.057),-18 (12 -- -5.7)
Lazio,659 (465 -- 870),Decreasing,0.87 (0.74 -- 0.98),-0.036 (-0.075 -- -0.0054),-19 (-130 -- -9.2)
Liguria,139 (96 -- 198),Decreasing,0.87 (0.76 -- 0.99),-0.036 (-0.067 -- -0.0028),-19 (-250 -- -10)
Lombardia,1190 (691 -- 1878),Likely decreasing,0.88 (0.69 -- 1.1),-0.033 (-0.09 -- 0.019),-21 (37 -- -7.7)
Marche,169 (98 -- 284),Likely decreasing,0.9 (0.71 -- 1.1),-0.028 (-0.084 -- 0.029),-25 (24 -- -8.3)
Molise,25 (12 -- 46),Likely decreasing,0.97 (0.75 -- 1.2),-0.0083 (-0.072 -- 0.042),-84 (16 -- -9.6)
Piemonte,624 (374 -- 979),Likely decreasing,0.92 (0.73 -- 1.1),-0.021 (-0.078 -- 0.03),-32 (23 -- -8.9)
Puglia,807 (570 -- 1152),Likely decreasing,0.92 (0.8 -- 1.1),-0.022 (-0.057 -- 0.015),-32 (47 -- -12)
Sardegna,52 (24 -- 109),Decreasing,0.68 (0.48 -- 0.92),-0.093 (-0.16 -- -0.022),-7.4 (-31 -- -4.4)
Sicilia,529 (370 -- 754),Decreasing,0.83 (0.71 -- 0.97),-0.047 (-0.083 -- -0.0078),-15 (-89 -- -8.4)
Toscana,585 (462 -- 749),Likely decreasing,0.93 (0.85 -- 1),-0.021 (-0.043 -- 0.0047),-34 (150 -- -16)
Trentino-Alto Adige,88 (22 -- 376),Stable,0.94 (0.51 -- 1.6),-0.016 (-0.15 -- 0.15),-43 (4.5 -- -4.8)
Umbria,94 (65 -- 145),Stable,1 (0.88 -- 1.2),-0.0014 (-0.034 -- 0.042),-510 (16 -- -20)
Valle d'Aosta,19 (7 -- 52),Likely decreasing,0.82 (0.54 -- 1.2),-0.05 (-0.14 -- 0.047),-14 (15 -- -5.1)
Veneto,437 (218 -- 806),Likely decreasing,0.83 (0.59 -- 1.1),-0.049 (-0.12 -- 0.016),-14 (43 -- -5.8)
