region,date,confirm
East of England,2020-09-16,8
England,2020-09-16,167
London,2020-09-16,21
Midlands,2020-09-16,31
North East and Yorkshire,2020-09-16,40
North West,2020-09-16,50
Northern Ireland,2020-09-16,3
Scotland,2020-09-16,33
South East,2020-09-16,13
South West,2020-09-16,4
Wales,2020-09-16,65
East of England,2020-09-17,6
England,2020-09-17,181
London,2020-09-17,27
Midlands,2020-09-17,30
North East and Yorkshire,2020-09-17,55
North West,2020-09-17,53
Northern Ireland,2020-09-17,4
Scotland,2020-09-17,16
South East,2020-09-17,8
South West,2020-09-17,2
Wales,2020-09-17,42
East of England,2020-09-18,2
England,2020-09-18,179
London,2020-09-18,38
Midlands,2020-09-18,29
North East and Yorkshire,2020-09-18,62
North West,2020-09-18,37
Northern Ireland,2020-09-18,2
Scotland,2020-09-18,11
South East,2020-09-18,8
South West,2020-09-18,3
Wales,2020-09-18,41
East of England,2020-09-19,4
England,2020-09-19,185
London,2020-09-19,27
Midlands,2020-09-19,40
North East and Yorkshire,2020-09-19,45
North West,2020-09-19,48
Northern Ireland,2020-09-19,3
Scotland,2020-09-19,18
South East,2020-09-19,16
South West,2020-09-19,5
Wales,2020-09-19,34
East of England,2020-09-20,6
England,2020-09-20,221
London,2020-09-20,35
Midlands,2020-09-20,37
North East and Yorkshire,2020-09-20,65
North West,2020-09-20,62
Northern Ireland,2020-09-20,6
Scotland,2020-09-20,17
South East,2020-09-20,9
South West,2020-09-20,7
Wales,2020-09-20,28
East of England,2020-09-21,5
England,2020-09-21,259
London,2020-09-21,41
Midlands,2020-09-21,30
North East and Yorkshire,2020-09-21,73
North West,2020-09-21,88
Northern Ireland,2020-09-21,11
Scotland,2020-09-21,22
South East,2020-09-21,14
South West,2020-09-21,8
Wales,2020-09-21,59
East of England,2020-09-22,10
England,2020-09-22,247
London,2020-09-22,32
Midlands,2020-09-22,55
North East and Yorkshire,2020-09-22,57
North West,2020-09-22,73
Northern Ireland,2020-09-22,8
Scotland,2020-09-22,31
South East,2020-09-22,13
South West,2020-09-22,7
Wales,2020-09-22,43
East of England,2020-09-23,7
England,2020-09-23,290
London,2020-09-23,32
Midlands,2020-09-23,53
North East and Yorkshire,2020-09-23,83
North West,2020-09-23,87
Northern Ireland,2020-09-23,13
Scotland,2020-09-23,20
South East,2020-09-23,24
South West,2020-09-23,4
Wales,2020-09-23,70
East of England,2020-09-24,13
England,2020-09-24,259
London,2020-09-24,45
Midlands,2020-09-24,56
North East and Yorkshire,2020-09-24,59
North West,2020-09-24,69
Northern Ireland,2020-09-24,8
Scotland,2020-09-24,30
South East,2020-09-24,12
South West,2020-09-24,5
Wales,2020-09-24,94
East of England,2020-09-25,15
England,2020-09-25,247
London,2020-09-25,29
Midlands,2020-09-25,58
North East and Yorkshire,2020-09-25,59
North West,2020-09-25,62
Northern Ireland,2020-09-25,6
Scotland,2020-09-25,34
South East,2020-09-25,18
South West,2020-09-25,6
Wales,2020-09-25,67
East of England,2020-09-26,11
England,2020-09-26,215
London,2020-09-26,26
Midlands,2020-09-26,45
North East and Yorkshire,2020-09-26,59
North West,2020-09-26,61
Northern Ireland,2020-09-26,11
Scotland,2020-09-26,32
South East,2020-09-26,11
South West,2020-09-26,2
Wales,2020-09-26,61
East of England,2020-09-27,15
England,2020-09-27,223
London,2020-09-27,23
Midlands,2020-09-27,43
North East and Yorkshire,2020-09-27,68
North West,2020-09-27,65
Northern Ireland,2020-09-27,12
Scotland,2020-09-27,30
South East,2020-09-27,6
South West,2020-09-27,3
Wales,2020-09-27,56
East of England,2020-09-28,11
England,2020-09-28,280
London,2020-09-28,26
Midlands,2020-09-28,55
North East and Yorkshire,2020-09-28,78
North West,2020-09-28,96
Northern Ireland,2020-09-28,21
Scotland,2020-09-28,42
South East,2020-09-28,12
South West,2020-09-28,2
Wales,2020-09-28,71
East of England,2020-09-29,7
England,2020-09-29,287
London,2020-09-29,32
Midlands,2020-09-29,52
North East and Yorkshire,2020-09-29,97
North West,2020-09-29,78
Northern Ireland,2020-09-29,8
Scotland,2020-09-29,31
South East,2020-09-29,14
South West,2020-09-29,7
Wales,2020-09-29,90
East of England,2020-09-30,17
England,2020-09-30,302
London,2020-09-30,29
Midlands,2020-09-30,54
North East and Yorkshire,2020-09-30,85
North West,2020-09-30,92
Northern Ireland,2020-09-30,16
Scotland,2020-09-30,43
South East,2020-09-30,21
South West,2020-09-30,4
Wales,2020-09-30,61
East of England,2020-10-01,11
England,2020-10-01,333
London,2020-10-01,48
Midlands,2020-10-01,57
North East and Yorkshire,2020-10-01,73
North West,2020-10-01,119
Northern Ireland,2020-10-01,14
Scotland,2020-10-01,59
South East,2020-10-01,15
South West,2020-10-01,10
Wales,2020-10-01,79
East of England,2020-10-02,13
England,2020-10-02,332
London,2020-10-02,33
Midlands,2020-10-02,54
North East and Yorkshire,2020-10-02,91
North West,2020-10-02,119
Northern Ireland,2020-10-02,9
Scotland,2020-10-02,50
South East,2020-10-02,12
South West,2020-10-02,10
Wales,2020-10-02,94
East of England,2020-10-03,17
England,2020-10-03,353
London,2020-10-03,37
Midlands,2020-10-03,44
North East and Yorkshire,2020-10-03,107
North West,2020-10-03,121
Northern Ireland,2020-10-03,23
Scotland,2020-10-03,44
South East,2020-10-03,18
South West,2020-10-03,9
Wales,2020-10-03,79
East of England,2020-10-04,15
England,2020-10-04,451
London,2020-10-04,24
Midlands,2020-10-04,61
North East and Yorkshire,2020-10-04,123
North West,2020-10-04,201
Northern Ireland,2020-10-04,17
Scotland,2020-10-04,40
South East,2020-10-04,16
South West,2020-10-04,11
Wales,2020-10-04,92
East of England,2020-10-05,18
England,2020-10-05,432
London,2020-10-05,43
Midlands,2020-10-05,92
North East and Yorkshire,2020-10-05,110
North West,2020-10-05,134
Northern Ireland,2020-10-05,24
Scotland,2020-10-05,68
South East,2020-10-05,18
South West,2020-10-05,17
Wales,2020-10-05,59
East of England,2020-10-06,8
England,2020-10-06,494
London,2020-10-06,41
Midlands,2020-10-06,68
North East and Yorkshire,2020-10-06,155
North West,2020-10-06,181
Northern Ireland,2020-10-06,27
Scotland,2020-10-06,89
South East,2020-10-06,23
South West,2020-10-06,18
Wales,2020-10-06,80
East of England,2020-10-07,14
England,2020-10-07,447
London,2020-10-07,44
Midlands,2020-10-07,68
North East and Yorkshire,2020-10-07,122
North West,2020-10-07,139
Northern Ireland,2020-10-07,30
Scotland,2020-10-07,73
South East,2020-10-07,40
South West,2020-10-07,20
Wales,2020-10-07,85
East of England,2020-10-08,18
England,2020-10-08,467
London,2020-10-08,38
Midlands,2020-10-08,68
North East and Yorkshire,2020-10-08,108
North West,2020-10-08,171
Northern Ireland,2020-10-08,28
Scotland,2020-10-08,89
South East,2020-10-08,35
South West,2020-10-08,29
Wales,2020-10-08,76
East of England,2020-10-09,17
England,2020-10-09,494
London,2020-10-09,51
Midlands,2020-10-09,71
North East and Yorkshire,2020-10-09,136
North West,2020-10-09,170
Northern Ireland,2020-10-09,23
Scotland,2020-10-09,73
South East,2020-10-09,32
South West,2020-10-09,17
Wales,2020-10-09,60
East of England,2020-10-10,15
England,2020-10-10,487
London,2020-10-10,50
Midlands,2020-10-10,71
North East and Yorkshire,2020-10-10,135
North West,2020-10-10,171
Northern Ireland,2020-10-10,31
Scotland,2020-10-10,68
South East,2020-10-10,27
South West,2020-10-10,18
Wales,2020-10-10,103
East of England,2020-10-11,26
England,2020-10-11,589
London,2020-10-11,49
Midlands,2020-10-11,97
North East and Yorkshire,2020-10-11,168
North West,2020-10-11,195
Northern Ireland,2020-10-11,37
Scotland,2020-10-11,76
South East,2020-10-11,26
South West,2020-10-11,28
Wales,2020-10-11,79
East of England,2020-10-12,23
England,2020-10-12,640
London,2020-10-12,66
Midlands,2020-10-12,105
North East and Yorkshire,2020-10-12,162
North West,2020-10-12,216
Northern Ireland,2020-10-12,31
Scotland,2020-10-12,97
South East,2020-10-12,37
South West,2020-10-12,31
Wales,2020-10-12,86
East of England,2020-10-13,26
England,2020-10-13,727
London,2020-10-13,69
Midlands,2020-10-13,156
North East and Yorkshire,2020-10-13,171
North West,2020-10-13,235
Northern Ireland,2020-10-13,43
Scotland,2020-10-13,114
South East,2020-10-13,48
South West,2020-10-13,22
Wales,2020-10-13,98
East of England,2020-10-14,27
England,2020-10-14,682
London,2020-10-14,75
Midlands,2020-10-14,125
North East and Yorkshire,2020-10-14,153
North West,2020-10-14,219
Northern Ireland,2020-10-14,37
Scotland,2020-10-14,112
South East,2020-10-14,37
South West,2020-10-14,46
Wales,2020-10-14,123
East of England,2020-10-15,39
England,2020-10-15,765
London,2020-10-15,77
Midlands,2020-10-15,141
North East and Yorkshire,2020-10-15,173
North West,2020-10-15,253
Northern Ireland,2020-10-15,46
