region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases
England,2304 (1537 -- 3362),2304,2358,578,1537,1964,2175,2440,2669,3362,New confirmed cases by infection date,Likely increasing
London,587 (332 -- 1040),587,625,226,332,469,537,642,743,1040,New confirmed cases by infection date,Unsure
Midlands,496 (295 -- 806),496,518,167,295,403,461,535,607,806,New confirmed cases by infection date,Unsure
South East,401 (278 -- 600),401,416,102,278,345,380,425,471,600,New confirmed cases by infection date,Increasing
North East and Yorkshire,332 (214 -- 514),332,344,92,214,281,313,353,393,514,New confirmed cases by infection date,Unsure
East of England,288 (183 -- 500),288,307,102,183,236,267,311,354,500,New confirmed cases by infection date,Increasing
North West,220 (149 -- 339),220,230,60,149,189,207,234,261,339,New confirmed cases by infection date,Unsure
South West,155 (83 -- 309),155,171,75,83,121,142,172,205,309,New confirmed cases by infection date,Unsure
Wales,112 (77 -- 182),112,118,34,77,95,105,120,134,182,New confirmed cases by infection date,Unsure
Scotland,47 (30 -- 82),47,50,16,30,39,44,50,57,82,New confirmed cases by infection date,Unsure
Northern Ireland,18 (9 -- 30),18,18,6,9,14,16,19,22,30,New confirmed cases by infection date,Unsure
London,1.4 (1.1 -- 1.9),1.4,1.5,0.26,1.1,1.3,1.4,1.5,1.6,1.9,Effective reproduction no.,Unsure
East of England,1.3 (1.1 -- 1.6),1.3,1.3,0.16,1.1,1.2,1.2,1.3,1.4,1.6,Effective reproduction no.,Increasing
South East,1.3 (1.1 -- 1.5),1.3,1.3,0.13,1.1,1.2,1.2,1.3,1.3,1.5,Effective reproduction no.,Increasing
England,1.2 (0.94 -- 1.5),1.2,1.2,0.16,0.94,1.1,1.1,1.2,1.3,1.5,Effective reproduction no.,Likely increasing
Midlands,1.2 (0.88 -- 1.5),1.2,1.2,0.19,0.88,1.1,1.1,1.2,1.3,1.5,Effective reproduction no.,Unsure
North East and Yorkshire,1.2 (0.95 -- 1.5),1.2,1.2,0.16,0.95,1.1,1.1,1.2,1.3,1.5,Effective reproduction no.,Unsure
South West,1.2 (0.92 -- 1.7),1.2,1.3,0.23,0.92,1.1,1.2,1.3,1.4,1.7,Effective reproduction no.,Unsure
North West,1.1 (0.91 -- 1.3),1.1,1.1,0.13,0.91,1,1.1,1.1,1.2,1.3,Effective reproduction no.,Unsure
Wales,1.1 (0.98 -- 1.3),1.1,1.1,0.11,0.98,1.1,1.1,1.1,1.2,1.3,Effective reproduction no.,Unsure
Scotland,0.96 (0.79 -- 1.2),0.96,0.98,0.14,0.79,0.89,0.93,0.99,1.1,1.2,Effective reproduction no.,Unsure
Northern Ireland,0.86 (0.63 -- 1),0.86,0.85,0.13,0.63,0.78,0.83,0.89,0.94,1,Effective reproduction no.,Unsure
