Country,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Tajikistan,0 (0 -- 0),,0.031 (0.00062 -- 0.32),-0.35 (-0.4 -- -0.22),-2 (-3.2 -- -1.7)
Thailand,1004 (291 -- 2834),Likely increasing,1.3 (0.83 -- 1.7),0.076 (-0.048 -- 0.18),9.2 (3.9 -- -14)
Togo,29 (13 -- 74),Likely increasing,1 (0.88 -- 1.2),0.005 (-0.034 -- 0.056),140 (12 -- -20)
Trinidad & Tobago,6 (1 -- 18),Likely decreasing,0.87 (0.58 -- 1.2),-0.038 (-0.12 -- 0.044),-18 (16 -- -5.6)
Tunisia,2673 (1278 -- 5594),Likely increasing,1.1 (0.87 -- 1.4),0.029 (-0.036 -- 0.098),24 (7.1 -- -20)
Turkey,4662 (1219 -- 14760),,0.66 (0.27 -- 1.3),-0.099 (-0.23 -- 0.07),-7 (9.9 -- -3)
Turks & Caicos Islands,17 (1 -- 112),Likely increasing,1.1 (0.33 -- 1.7),0.025 (-0.21 -- 0.18),28 (3.8 -- -3.3)
U.S. Virgin Islands,7 (0 -- 67),Stable,0.9 (0.46 -- 2.2),-0.028 (-0.16 -- 0.28),-25 (2.4 -- -4.2)
Uganda,267 (125 -- 592),Stable,0.9 (0.68 -- 1.2),-0.029 (-0.092 -- 0.061),-24 (11 -- -7.6)
Ukraine,5027 (3933 -- 6676),Stable,0.93 (0.85 -- 1),-0.019 (-0.043 -- 0.014),-36 (51 -- -16)
United Arab Emirates,3142 (2406 -- 4215),Likely increasing,1.2 (1.1 -- 1.4),0.062 (0.026 -- 0.1),11 (6.8 -- 27)
United Kingdom,88847 (53387 -- 153285),Likely increasing,1.1 (0.9 -- 1.5),0.039 (-0.028 -- 0.12),18 (5.7 -- -25)
United States,330654 (205809 -- 571344),Likely increasing,1.2 (0.97 -- 1.5),0.053 (-0.0076 -- 0.14),13 (4.9 -- -92)
Uruguay,714 (448 -- 1158),Likely increasing,1 (0.86 -- 1.2),0.0096 (-0.038 -- 0.065),72 (11 -- -18)
Uzbekistan,9 (3 -- 22),Likely decreasing,0.56 (0.35 -- 0.79),-0.13 (-0.2 -- -0.06),-5.3 (-12 -- -3.4)
Venezuela,215 (135 -- 318),Likely decreasing,0.91 (0.78 -- 1),-0.025 (-0.063 -- 0.0076),-28 (91 -- -11)
Vietnam,6 (2 -- 22),Likely increasing,1.1 (0.87 -- 1.4),0.014 (-0.037 -- 0.11),48 (6.3 -- -19)
Yemen,0 (0 -- 2),Stable,1 (0.69 -- 1.3),0.0039 (-0.091 -- 0.084),180 (8.3 -- -7.6)
Zambia,1483 (563 -- 4743),Stable,1.5 (1.1 -- 2),0.12 (0.031 -- 0.24),5.7 (2.9 -- 22)
Zimbabwe,2693 (854 -- 12130),Likely increasing,1.7 (1.2 -- 2.8),0.18 (0.056 -- 0.43),3.9 (1.6 -- 12)
