region,point,lower,upper,mid_lower,mid_upper,central_lower,central_upper,metric,Expected change in daily cases
Bosnia & Herzegovina,397,75,924,237,464,271,350,New confirmed cases by infection date,Unsure
Saudi Arabia,382,257,543,297,407,337,378,New confirmed cases by infection date,Unsure
Serbia,381,134,722,234,438,241,317,New confirmed cases by infection date,Increasing
Finland,366,68,729,239,452,305,380,New confirmed cases by infection date,Likely increasing
Palestinian Territories,363,178,623,250,402,307,363,New confirmed cases by infection date,Unsure
Albania,319,174,505,232,351,276,320,New confirmed cases by infection date,Likely increasing
Lithuania,290,135,507,205,326,239,282,New confirmed cases by infection date,Likely increasing
Botswana,284,0,4948,0,284,0,67,New confirmed cases by infection date,Unsure
Montenegro,273,45,648,116,304,203,272,New confirmed cases by infection date,Unsure
French Polynesia,245,0,1175,36,272,71,150,New confirmed cases by infection date,Likely increasing
El Salvador,239,29,808,76,261,104,166,New confirmed cases by infection date,Unsure
Malta,228,8,672,57,253,86,153,New confirmed cases by infection date,Unsure
Kazakhstan,227,42,597,91,252,116,170,New confirmed cases by infection date,Unsure
Algeria,219,113,381,146,244,156,190,New confirmed cases by infection date,Likely increasing
Latvia,218,30,556,65,248,108,172,New confirmed cases by infection date,Unsure
Angola,203,64,399,135,231,169,201,New confirmed cases by infection date,Likely increasing
Qatar,192,133,247,173,210,189,202,New confirmed cases by infection date,Unsure
Nigeria,183,71,348,103,196,129,162,New confirmed cases by infection date,Unsure
Luxembourg,172,17,546,66,197,93,137,New confirmed cases by infection date,Unsure
Guam,168,5,829,16,174,44,96,New confirmed cases by infection date,Unsure
Uzbekistan,168,24,384,63,195,85,130,New confirmed cases by infection date,Likely decreasing
Norway,145,39,280,78,168,112,144,New confirmed cases by infection date,Unsure
Bolivia,128,37,239,77,153,102,130,New confirmed cases by infection date,Likely decreasing
Egypt,127,22,303,59,144,80,108,New confirmed cases by infection date,Unsure
Cape Verde,121,70,179,102,139,110,123,New confirmed cases by infection date,Likely increasing
Iceland,111,6,316,29,127,43,77,New confirmed cases by infection date,Unsure
Rwanda,104,1,613,6,107,15,47,New confirmed cases by infection date,Likely increasing
Bahamas,103,18,212,56,124,80,104,New confirmed cases by infection date,Unsure
Mozambique,97,20,221,45,111,52,76,New confirmed cases by infection date,Unsure
Uganda,95,10,228,44,115,57,83,New confirmed cases by infection date,Unsure
Kosovo,93,27,235,37,98,49,70,New confirmed cases by infection date,Likely increasing
Andorra,87,10,227,36,98,55,76,New confirmed cases by infection date,Likely increasing
Jamaica,74,14,177,36,90,43,62,New confirmed cases by infection date,Unsure
South Korea,72,1,248,8,76,22,45,New confirmed cases by infection date,Unsure
Liechtenstein,66,0,385,4,67,12,30,New confirmed cases by infection date,Increasing
Guinea,65,10,216,23,70,32,48,New confirmed cases by infection date,Unsure
Syria,65,7,182,24,75,30,48,New confirmed cases by infection date,Unsure
Belize,50,0,206,3,52,17,33,New confirmed cases by infection date,Unsure
Afghanistan,48,9,141,25,57,28,39,New confirmed cases by infection date,Unsure
Cameroon,47,0,300,0,47,0,15,New confirmed cases by infection date,Unsure
Guyana,47,7,107,21,56,31,43,New confirmed cases by infection date,Unsure
Maldives,46,20,77,32,52,37,44,New confirmed cases by infection date,Unsure
Namibia,42,12,91,22,48,29,38,New confirmed cases by infection date,Unsure
Tajikistan,41,26,55,35,45,39,42,New confirmed cases by infection date,Unsure
Curaçao,39,5,111,13,43,19,29,New confirmed cases by infection date,Unsure
Zambia,37,12,67,26,45,29,35,New confirmed cases by infection date,Likely decreasing
Uruguay,36,17,66,23,39,27,33,New confirmed cases by infection date,Likely increasing
China,27,8,50,17,32,20,25,New confirmed cases by infection date,Unsure
Côte d’Ivoire,26,7,45,19,32,22,26,New confirmed cases by infection date,Likely decreasing
Gibraltar,25,1,86,4,26,7,14,New confirmed cases by infection date,Unsure
Ghana,24,0,77,9,29,11,18,New confirmed cases by infection date,Likely decreasing
Australia,22,5,55,10,26,15,20,New confirmed cases by infection date,Unsure
Trinidad & Tobago,21,3,57,6,24,11,17,New confirmed cases by infection date,Unsure
Estonia,20,3,44,9,24,14,19,New confirmed cases by infection date,Likely decreasing
Congo - Kinshasa,19,8,46,12,22,15,18,New confirmed cases by infection date,Unsure
Cuba,19,4,46,9,22,12,16,New confirmed cases by infection date,Unsure
Mali,19,3,39,10,23,13,18,New confirmed cases by infection date,Unsure
Somalia,18,0,137,0,18,0,6,New confirmed cases by infection date,Unsure
Chad,16,7,30,12,19,14,16,New confirmed cases by infection date,Likely increasing
Senegal,15,4,31,9,18,13,16,New confirmed cases by infection date,Unsure
Togo,15,8,25,12,17,14,16,New confirmed cases by infection date,Unsure
Burkina Faso,14,1,34,3,15,5,9,New confirmed cases by infection date,Unsure
Guinea-Bissau,14,0,466,0,14,0,2,New confirmed cases by infection date,Unsure
Zimbabwe,14,2,52,5,16,7,10,New confirmed cases by infection date,Unsure
Suriname,13,3,27,6,14,9,12,New confirmed cases by infection date,Unsure
Lesotho,12,0,58,0,12,5,10,New confirmed cases by infection date,Unsure
Nicaragua,12,0,266,0,12,,,New confirmed cases by infection date,Unsure
Eswatini,11,5,18,8,12,9,11,New confirmed cases by infection date,Likely decreasing
South Sudan,11,0,46,1,11,2,6,New confirmed cases by infection date,Unsure
Benin,10,0,114,0,10,1,3,New confirmed cases by infection date,Unsure
Thailand,10,3,21,6,12,7,9,New confirmed cases by infection date,Unsure
Aruba,8,0,69,0,8,0,2,New confirmed cases by infection date,Unsure
Djibouti,8,0,98,0,9,1,3,New confirmed cases by infection date,Likely increasing
Haiti,8,1,17,4,10,5,7,New confirmed cases by infection date,Unsure
Sint Maarten,7,0,22,2,7,3,5,New confirmed cases by infection date,Unsure
Jersey,6,1,15,3,8,4,6,New confirmed cases by infection date,Unsure
Mauritania,6,0,16,1,7,1,3,New confirmed cases by infection date,Unsure
Papua New Guinea,6,0,51,0,6,1,2,New confirmed cases by infection date,Unsure
Congo - Brazzaville,5,0,78,0,5,0,1,New confirmed cases by infection date,Unsure
Gabon,5,0,19,1,5,2,3,New confirmed cases by infection date,Unsure
Sierra Leone,5,1,9,3,6,4,5,New confirmed cases by infection date,Unsure
Barbados,4,0,17,1,5,1,2,New confirmed cases by infection date,Likely increasing
Eritrea,3,0,16,0,3,1,2,New confirmed cases by infection date,Unsure
Liberia,3,0,8,1,3,1,2,New confirmed cases by infection date,Unsure
Malawi,3,0,10,1,3,1,2,New confirmed cases by infection date,Unsure
Monaco,3,1,9,1,4,2,3,New confirmed cases by infection date,Unsure
Singapore,3,0,6,2,4,3,4,New confirmed cases by infection date,Likely decreasing
São Tomé & Príncipe,3,0,18,0,3,0,1,New confirmed cases by infection date,Unsure
Vietnam,3,0,16,0,3,0,1,New confirmed cases by infection date,Unsure
Rwanda,2.2,0.6,4.5,1.2,2.6,1.7,2.2,Effective reproduction no.,Likely increasing
Cyprus,2.1,0.7,3.8,1.2,2.3,1.6,1.9,Effective reproduction no.,Increasing
Burundi,2,0,7,1,3,1,2,New confirmed cases by infection date,Unsure
Comoros,2,0,8,0,2,0,1,New confirmed cases by infection date,Unsure
Equatorial Guinea,2,0,51,0,2,0,0,New confirmed cases by infection date,Unsure
Gambia,2,0,16,0,2,0,1,New confirmed cases by infection date,Unsure
Liechtenstein,2,0.7,3.6,1.3,2.3,1.5,1.8,Effective reproduction no.,Increasing
Madagascar,2,0,8,0,2,0,1,New confirmed cases by infection date,Decreasing
New Zealand,2,0,8,0,2,0,1,New confirmed cases by infection date,Unsure
