region,time
Abruzzo,12.2
Basilicata,7.9
Calabria,12
Campania,11.5
Emilia-Romagna,13.3
Friuli Venezia Giulia,8.2
Lazio,19.2
Liguria,12.2
Lombardia,17.3
Marche,12.1
Molise,10.5
Piemonte,13.9
Puglia,8.7
Sardegna,6
Sicilia,12.8
Toscana,16.8
Trentino-Alto Adige,7.9
Umbria,8.7
Valle d'Aosta,8.3
Veneto,8.6
