region,date,confirm
Alberta,2020-07-24,111
British Columbia,2020-07-24,27
Manitoba,2020-07-24,9
New Brunswick,2020-07-24,0
Newfoundland and Labrador,2020-07-24,1
Northwest Territories,2020-07-24,0
Nova Scotia,2020-07-24,0
Nunavut,2020-07-24,0
Ontario,2020-07-24,195
Prince Edward Island,2020-07-24,0
Quebec,2020-07-24,163
Repatriated Travellers,2020-07-24,0
Saskatchewan,2020-07-24,27
Yukon,2020-07-24,1
Alberta,2020-07-25,0
British Columbia,2020-07-25,0
Manitoba,2020-07-25,4
New Brunswick,2020-07-25,0
Newfoundland and Labrador,2020-07-25,0
Northwest Territories,2020-07-25,0
Nova Scotia,2020-07-25,0
Nunavut,2020-07-25,0
Ontario,2020-07-25,138
Prince Edward Island,2020-07-25,0
Quebec,2020-07-25,171
Repatriated Travellers,2020-07-25,0
Saskatchewan,2020-07-25,37
Yukon,2020-07-25,0
Alberta,2020-07-26,0
British Columbia,2020-07-26,0
Manitoba,2020-07-26,6
New Brunswick,2020-07-26,0
Newfoundland and Labrador,2020-07-26,1
Northwest Territories,2020-07-26,0
Nova Scotia,2020-07-26,0
Nunavut,2020-07-26,0
Ontario,2020-07-26,137
Prince Edward Island,2020-07-26,0
Quebec,2020-07-26,169
Repatriated Travellers,2020-07-26,0
Saskatchewan,2020-07-26,42
Yukon,2020-07-26,0
Alberta,2020-07-27,304
British Columbia,2020-07-27,81
Manitoba,2020-07-27,6
New Brunswick,2020-07-27,0
Newfoundland and Labrador,2020-07-27,0
Northwest Territories,2020-07-27,0
Nova Scotia,2020-07-27,0
Nunavut,2020-07-27,0
Ontario,2020-07-27,119
Prince Edward Island,2020-07-27,0
Quebec,2020-07-27,145
Repatriated Travellers,2020-07-27,0
Saskatchewan,2020-07-27,31
Yukon,2020-07-27,0
Alberta,2020-07-28,80
British Columbia,2020-07-28,23
Manitoba,2020-07-28,5
New Brunswick,2020-07-28,0
Newfoundland and Labrador,2020-07-28,0
Northwest Territories,2020-07-28,0
Nova Scotia,2020-07-28,0
Nunavut,2020-07-28,0
Ontario,2020-07-28,111
Prince Edward Island,2020-07-28,0
Quebec,2020-07-28,169
Repatriated Travellers,2020-07-28,0
Saskatchewan,2020-07-28,9
Yukon,2020-07-28,0
Alberta,2020-07-29,133
British Columbia,2020-07-29,39
Manitoba,2020-07-29,2
New Brunswick,2020-07-29,0
Newfoundland and Labrador,2020-07-29,0
Northwest Territories,2020-07-29,0
Nova Scotia,2020-07-29,0
Nunavut,2020-07-29,0
Ontario,2020-07-29,76
Prince Edward Island,2020-07-29,0
Quebec,2020-07-29,112
Repatriated Travellers,2020-07-29,0
Saskatchewan,2020-07-29,50
Yukon,2020-07-29,0
Alberta,2020-07-30,113
British Columbia,2020-07-30,29
Manitoba,2020-07-30,2
New Brunswick,2020-07-30,0
Newfoundland and Labrador,2020-07-30,0
Northwest Territories,2020-07-30,0
Nova Scotia,2020-07-30,0
Nunavut,2020-07-30,0
Ontario,2020-07-30,89
Prince Edward Island,2020-07-30,0
Quebec,2020-07-30,122
Repatriated Travellers,2020-07-30,0
Saskatchewan,2020-07-30,38
Yukon,2020-07-30,0
Alberta,2020-07-31,127
British Columbia,2020-07-31,50
Manitoba,2020-07-31,6
New Brunswick,2020-07-31,0
Newfoundland and Labrador,2020-07-31,0
Northwest Territories,2020-07-31,0
Nova Scotia,2020-07-31,2
Nunavut,2020-07-31,0
Ontario,2020-07-31,134
Prince Edward Island,2020-07-31,0
Quebec,2020-07-31,181
Repatriated Travellers,2020-07-31,0
Saskatchewan,2020-07-31,13
Yukon,2020-07-31,0
Alberta,2020-08-01,0
British Columbia,2020-08-01,0
Manitoba,2020-08-01,2
New Brunswick,2020-08-01,0
Newfoundland and Labrador,2020-08-01,0
Northwest Territories,2020-08-01,0
Nova Scotia,2020-08-01,0
Nunavut,2020-08-01,0
Ontario,2020-08-01,124
Prince Edward Island,2020-08-01,0
Quebec,2020-08-01,146
Repatriated Travellers,2020-08-01,0
Saskatchewan,2020-08-01,15
Yukon,2020-08-01,0
Alberta,2020-08-02,0
British Columbia,2020-08-02,0
Manitoba,2020-08-02,18
New Brunswick,2020-08-02,0
Newfoundland and Labrador,2020-08-02,0
Northwest Territories,2020-08-02,0
Nova Scotia,2020-08-02,2
Nunavut,2020-08-02,0
Ontario,2020-08-02,116
Prince Edward Island,2020-08-02,0
Quebec,2020-08-02,141
Repatriated Travellers,2020-08-02,0
Saskatchewan,2020-08-02,8
Yukon,2020-08-02,0
Alberta,2020-08-03,0
British Columbia,2020-08-03,0
Manitoba,2020-08-03,7
New Brunswick,2020-08-03,0
Newfoundland and Labrador,2020-08-03,0
Northwest Territories,2020-08-03,0
Nova Scotia,2020-08-03,0
Nunavut,2020-08-03,0
Ontario,2020-08-03,0
Prince Edward Island,2020-08-03,0
Quebec,2020-08-03,123
Repatriated Travellers,2020-08-03,0
Saskatchewan,2020-08-03,17
Yukon,2020-08-03,0
Alberta,2020-08-04,303
British Columbia,2020-08-04,146
Manitoba,2020-08-04,1
New Brunswick,2020-08-04,0
Newfoundland and Labrador,2020-08-04,0
Northwest Territories,2020-08-04,0
Nova Scotia,2020-08-04,0
Nunavut,2020-08-04,0
Ontario,2020-08-04,179
Prince Edward Island,2020-08-04,0
Quebec,2020-08-04,123
