region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,metric,Expected change in daily cases,prob_control
São Paulo,1.1 (0.94 -- 1.2),1.1,1.1,0.097,0.94,1,1,1.1,1.1,1.2,Effective reproduction no.,Likely increasing,0.17
Tocantins,1.1 (0.92 -- 1.4),1.1,1.1,0.17,0.92,1,1.1,1.1,1.2,1.4,Effective reproduction no.,Likely increasing,0.17
Acre,1 (0.83 -- 1.4),1,1.1,0.18,0.83,0.95,1,1.1,1.1,1.4,Effective reproduction no.,Stable,0.41
Ceará,1 (0.86 -- 1.4),1,1.1,0.17,0.86,0.98,1,1,1.1,1.4,Effective reproduction no.,Likely increasing,0.37
Distrito Federal,1 (0.86 -- 1.2),1,1,0.1,0.86,0.96,1,1,1.1,1.2,Effective reproduction no.,Stable,0.41
Paraná,1 (0.82 -- 1.3),1,1,0.16,0.82,0.95,1,1.1,1.1,1.3,Effective reproduction no.,Likely increasing,0.39
Paraíba,1 (0.85 -- 1.2),1,1,0.096,0.85,0.95,0.99,1,1.1,1.2,Effective reproduction no.,Stable,0.46
Pernambuco,1 (0.88 -- 1.3),1,1.1,0.14,0.88,0.98,1,1.1,1.1,1.3,Effective reproduction no.,Likely increasing,0.34
Rio Grande do Norte,1 (0.57 -- 1.9),1,1.1,0.43,0.57,0.85,0.97,1.1,1.3,1.9,Effective reproduction no.,Stable,0.44
Rio Grande do Sul,1 (0.86 -- 1.3),1,1,0.13,0.86,0.95,0.98,1,1.1,1.3,Effective reproduction no.,Stable,0.48
Rio de Janeiro,1 (0.91 -- 1.2),1,1,0.082,0.91,1,1,1,1.1,1.2,Effective reproduction no.,Likely increasing,0.24
Sergipe,1 (0.6 -- 1.5),1,1,0.29,0.6,0.84,0.94,1.1,1.2,1.5,Effective reproduction no.,Stable,0.49
Espirito Santo,0.99 (0.88 -- 1.2),0.99,1,0.086,0.88,0.95,0.98,1,1,1.2,Effective reproduction no.,Stable,0.55
Mato Grosso do Sul,0.96 (0.79 -- 1.2),0.96,0.97,0.12,0.79,0.89,0.94,0.99,1,1.2,Effective reproduction no.,Likely decreasing,0.64
