Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Andaman and Nicobar,4 (2 -- 7),Decreasing,0.93 (0.81 -- 1),-0.018 (-0.053 -- 0.006),-38 (120 -- -13)
Andhra Pradesh,238 (155 -- 390),Decreasing,0.92 (0.76 -- 1.2),-0.022 (-0.069 -- 0.047),-31 (15 -- -10)
Arunachal Pradesh,3 (1 -- 6),Decreasing,0.81 (0.51 -- 0.94),-0.054 (-0.15 -- -0.018),-13 (-39 -- -4.7)
Assam,35 (17 -- 88),Likely decreasing,0.83 (0.6 -- 1.2),-0.049 (-0.12 -- 0.067),-14 (10 -- -5.9)
Bihar,411 (261 -- 596),Likely decreasing,0.93 (0.79 -- 1.1),-0.019 (-0.059 -- 0.014),-37 (49 -- -12)
Chandigarh,86 (40 -- 214),Unsure,1.2 (0.83 -- 1.8),0.047 (-0.048 -- 0.19),15 (3.6 -- -15)
Chhattisgarh,735 (469 -- 1126),Likely decreasing,0.88 (0.73 -- 1),-0.032 (-0.077 -- 0.012),-21 (57 -- -9)
Dadra and Nagar Haveli,0 (0 -- 2),Likely decreasing,0.91 (0.72 -- 1.3),-0.026 (-0.079 -- 0.09),-26 (7.7 -- -8.8)
Goa,87 (52 -- 155),Likely decreasing,0.99 (0.81 -- 1.3),-0.002 (-0.054 -- 0.067),-340 (10 -- -13)
Gujarat,558 (396 -- 760),Unsure,0.86 (0.71 -- 1),-0.038 (-0.083 -- 0.0075),-18 (93 -- -8.3)
Haryana,179 (113 -- 302),Unsure,0.82 (0.66 -- 1.1),-0.051 (-0.1 -- 0.016),-14 (42 -- -6.9)
Himachal Pradesh,75 (31 -- 174),Unsure,0.69 (0.46 -- 0.98),-0.09 (-0.17 -- -0.0043),-7.7 (-160 -- -4.2)
Jammu and Kashmir,152 (115 -- 205),Likely decreasing,0.88 (0.77 -- 1),-0.035 (-0.064 -- -0.0014),-20 (-510 -- -11)
Jharkhand,197 (138 -- 278),Unsure,1 (0.88 -- 1.1),0.00094 (-0.033 -- 0.038),730 (18 -- -21)
Karnataka,602 (415 -- 841),Decreasing,0.87 (0.74 -- 1),-0.036 (-0.076 -- 0.0037),-19 (190 -- -9.1)
Kerala,5248 (4322 -- 6505),Unsure,1 (0.94 -- 1.1),0.0024 (-0.016 -- 0.022),290 (32 -- -44)
Ladakh,9 (3 -- 48),Unsure,0.89 (0.61 -- 1.7),-0.03 (-0.11 -- 0.17),-23 (4.1 -- -6.1)
Madhya Pradesh,625 (259 -- 1403),Unsure,0.87 (0.55 -- 1.3),-0.038 (-0.13 -- 0.068),-18 (10 -- -5.2)
Maharashtra,3324 (1567 -- 8571),Unsure,1 (0.68 -- 1.7),0.0089 (-0.093 -- 0.19),77 (3.7 -- -7.5)
Manipur,19 (9 -- 48),Likely decreasing,0.79 (0.6 -- 1.2),-0.061 (-0.12 -- 0.044),-11 (16 -- -5.9)
Meghalaya,0 (0 -- 5),Unsure,0.36 (0.081 -- 0.81),-0.2 (-0.32 -- -0.054),-3.5 (-13 -- -2.2)
Mizoram,3 (0 -- 12),Unsure,0.79 (0.37 -- 1.2),-0.06 (-0.19 -- 0.059),-11 (12 -- -3.6)
NCT of Delhi,357 (207 -- 646),Unsure,0.85 (0.66 -- 1.1),-0.043 (-0.1 -- 0.032),-16 (22 -- -6.9)
Nagaland,0 (0 -- 6),Likely decreasing,0.5 (0.057 -- 1.4),-0.15 (-0.33 -- 0.098),-4.6 (7 -- -2.1)
Odisha,247 (144 -- 546),Likely decreasing,0.96 (0.71 -- 1.5),-0.012 (-0.084 -- 0.13),-58 (5.3 -- -8.3)
Puducherry,35 (20 -- 59),Unsure,1 (0.81 -- 1.2),-0.00066 (-0.053 -- 0.047),-1000 (15 -- -13)
Punjab,202 (117 -- 357),Unsure,0.91 (0.71 -- 1.2),-0.026 (-0.085 -- 0.047),-26 (15 -- -8.2)
Rajasthan,403 (213 -- 698),Unsure,0.76 (0.51 -- 1),-0.068 (-0.15 -- 0.012),-10 (58 -- -4.8)
Sikkim,23 (10 -- 41),Unsure,0.97 (0.71 -- 1.1),-0.0095 (-0.084 -- 0.038),-73 (18 -- -8.2)
Tamil Nadu,799 (587 -- 1092),Likely decreasing,0.93 (0.77 -- 1.1),-0.019 (-0.065 -- 0.032),-36 (21 -- -11)
Telangana,305 (145 -- 431),Likely decreasing,0.9 (0.64 -- 1),-0.027 (-0.1 -- 0.01),-26 (66 -- -6.7)
Tripura,4 (1 -- 7),Decreasing,0.79 (0.58 -- 0.91),-0.058 (-0.12 -- -0.026),-12 (-27 -- -5.6)
Uttar Pradesh,949 (652 -- 1419),Unsure,1 (0.84 -- 1.2),-0.00019 (-0.044 -- 0.053),-3600 (13 -- -16)
Uttarakhand,174 (82 -- 325),Unsure,0.75 (0.53 -- 0.96),-0.072 (-0.14 -- -0.01),-9.6 (-66 -- -4.9)
West Bengal,623 (500 -- 783),Likely decreasing,0.79 (0.72 -- 0.88),-0.06 (-0.082 -- -0.034),-12 (-20 -- -8.5)
