region,estimate,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,point,lower,upper,mid_lower,mid_upper,metric,Expected change in daily cases
Unknown,0 (0 -- 0),,,,,,,,,,0,0,0,0,0,New confirmed cases by infection date,Likely decreasing
Unknown,0.15 (0 -- 0.79),,,,,,,,,,0.15,0,0.79,0,0.15,Effective reproduction no.,Likely decreasing
Maharashtra,14250 (7334 -- 29998),14250,15886,7419,7334,10616,12701,15912,19274,29998,,,,,,New confirmed cases by infection date,Unsure
NCT of Delhi,7525 (4278 -- 15465),7525,8408,3853,4278,5882,6852,8253,9858,15465,,,,,,New confirmed cases by infection date,Unsure
Rajasthan,6439 (5409 -- 8000),6439,6544,831,5409,5969,6249,6643,7019,8000,,,,,,New confirmed cases by infection date,Unsure
Kerala,5149 (3477 -- 8166),5149,5384,1565,3477,4356,4814,5469,6064,8166,,,,,,New confirmed cases by infection date,Unsure
Madhya Pradesh,4159 (1976 -- 11401),4159,5265,4830,1976,3081,3702,4718,5975,11401,,,,,,New confirmed cases by infection date,Unsure
Chhattisgarh,4020 (2145 -- 9539),4020,4727,2653,2145,3038,3577,4526,5569,9539,,,,,,New confirmed cases by infection date,Unsure
West Bengal,3640 (3198 -- 4328),3640,3689,354,3198,3448,3563,3723,3875,4328,,,,,,New confirmed cases by infection date,Unsure
Uttar Pradesh,3196 (2433 -- 4577),3196,3315,715,2433,2854,3061,3347,3637,4577,,,,,,New confirmed cases by infection date,Unsure
Haryana,3135 (1985 -- 5518),3135,3363,1179,1985,2569,2895,3376,3888,5518,,,,,,New confirmed cases by infection date,Unsure
Karnataka,3105 (1462 -- 7558),3105,3640,2118,1462,2235,2731,3554,4436,7558,,,,,,New confirmed cases by infection date,Unsure
Gujarat,2190 (1787 -- 3749),2190,2387,611,1787,1982,2098,2300,2582,3749,,,,,,New confirmed cases by infection date,Unsure
Tamil Nadu,1737 (1219 -- 2594),1737,1799,443,1219,1493,1643,1828,2021,2594,,,,,,New confirmed cases by infection date,Unsure
Telangana,1424 (610 -- 3454),1424,1655,982,610,999,1250,1635,2043,3454,,,,,,New confirmed cases by infection date,Unsure
Punjab,690 (378 -- 1232),690,732,272,378,544,630,755,870,1232,,,,,,New confirmed cases by infection date,Unsure
Odisha,566 (344 -- 1064),566,620,241,344,450,515,625,730,1064,,,,,,New confirmed cases by infection date,Unsure
Himachal Pradesh,559 (212 -- 1280),559,629,353,212,386,489,641,793,1280,,,,,,New confirmed cases by infection date,Unsure
Andhra Pradesh,496 (359 -- 662),496,501,95,359,436,473,519,558,662,,,,,,New confirmed cases by infection date,Decreasing
Uttarakhand,494 (230 -- 996),494,540,268,230,371,441,548,649,996,,,,,,New confirmed cases by infection date,Unsure
Jammu and Kashmir,417 (192 -- 817),417,448,201,192,309,371,460,548,817,,,,,,New confirmed cases by infection date,Unsure
Bihar,357 (247 -- 474),357,359,70,247,314,342,374,401,474,,,,,,New confirmed cases by infection date,Decreasing
Manipur,260 (163 -- 535),260,297,138,163,212,240,285,339,535,,,,,,New confirmed cases by infection date,Unsure
Nagaland,139 (61 -- 682),139,245,508,61,94,117,173,252,682,,,,,,New confirmed cases by infection date,Unsure
Jharkhand,138 (104 -- 183),138,140,25,104,126,133,142,150,183,,,,,,New confirmed cases by infection date,Decreasing
Assam,128 (59 -- 333),128,155,115,59,95,114,143,176,333,,,,,,New confirmed cases by infection date,Likely decreasing
Meghalaya,99 (51 -- 246),99,119,76,51,76,89,113,138,246,,,,,,New confirmed cases by infection date,Unsure
Chandigarh,88 (41 -- 172),88,95,42,41,65,80,97,116,172,,,,,,New confirmed cases by infection date,Unsure
Goa,80 (51 -- 117),80,82,20,51,69,76,85,93,117,,,,,,New confirmed cases by infection date,Decreasing
Ladakh,74 (43 -- 113),74,75,22,43,63,69,77,85,113,,,,,,New confirmed cases by infection date,Unsure
Tripura,45 (28 -- 72),45,47,13,28,37,42,48,54,72,,,,,,New confirmed cases by infection date,Decreasing
Sikkim,32 (9 -- 70),32,35,19,9,25,29,36,43,70,,,,,,New confirmed cases by infection date,Unsure
Mizoram,28 (3 -- 222),28,67,193,3,12,21,38,62,222,,,,,,New confirmed cases by infection date,Unsure
Puducherry,28 (16 -- 50),28,30,13,16,23,26,30,34,50,,,,,,New confirmed cases by infection date,Likely decreasing
Arunachal Pradesh,16 (7 -- 31),16,17,7,7,12,14,17,21,31,,,,,,New confirmed cases by infection date,Unsure
Andaman and Nicobar,13 (6 -- 26),13,14,6,6,10,12,14,17,26,,,,,,New confirmed cases by infection date,Unsure
Dadra and Nagar Haveli,5 (2 -- 18),5,7,6,2,3,4,6,8,18,,,,,,New confirmed cases by infection date,Unsure
Maharashtra,1.6 (1.2 -- 2.2),1.6,1.6,0.3,1.2,1.4,1.5,1.6,1.8,2.2,,,,,,Effective reproduction no.,Unsure
Madhya Pradesh,1.5 (1 -- 2.4),1.5,1.6,0.5,1,1.3,1.4,1.6,1.7,2.4,,,,,,Effective reproduction no.,Unsure
Chhattisgarh,1.4 (1.1 -- 2),1.4,1.4,0.3,1.1,1.2,1.3,1.4,1.6,2,,,,,,Effective reproduction no.,Unsure
Karnataka,1.4 (1 -- 2.3),1.4,1.5,0.4,1,1.2,1.3,1.5,1.7,2.3,,,,,,Effective reproduction no.,Unsure
Rajasthan,1.4 (1.3 -- 1.6),1.4,1.4,0.1,1.3,1.4,1.4,1.4,1.5,1.6,,,,,,Effective reproduction no.,Unsure
Telangana,1.3 (0.8 -- 2.1),1.3,1.4,0.4,0.8,1.1,1.2,1.4,1.6,2.1,,,,,,Effective reproduction no.,Unsure
Gujarat,1.2 (1.1 -- 1.6),1.2,1.3,0.2,1.1,1.2,1.2,1.3,1.4,1.6,,,,,,Effective reproduction no.,Unsure
Dadra and Nagar Haveli,1.1 (0.9 -- 1.7),1.1,1.2,0.3,0.9,1,1.1,1.2,1.3,1.7,,,,,,Effective reproduction no.,Unsure
Haryana,1.1 (0.9 -- 1.5),1.1,1.1,0.2,0.9,1,1.1,1.2,1.2,1.5,,,,,,Effective reproduction no.,Unsure
Manipur,1.1 (0.9 -- 1.4),1.1,1.1,0.2,0.9,1,1,1.1,1.2,1.4,,,,,,Effective reproduction no.,Unsure
Meghalaya,1.1 (0.8 -- 1.4),1.1,1.1,0.2,0.8,1,1,1.1,1.2,1.4,,,,,,Effective reproduction no.,Unsure
NCT of Delhi,1.1 (0.9 -- 1.6),1.1,1.2,0.2,0.9,1,1.1,1.2,1.3,1.6,,,,,,Effective reproduction no.,Unsure
