region,date,confirm
Amazonas,2020-06-18,5
Antioquia,2020-06-18,128
Arauca,2020-06-18,5
Archipielago de san andres providencia y santa catalina,2020-06-18,0
Atlantico,2020-06-18,924
Bogota,2020-06-18,786
Bolivar,2020-06-18,290
Boyaca,2020-06-18,4
Caldas,2020-06-18,2
Caqueta,2020-06-18,1
Casanare,2020-06-18,2
Cauca,2020-06-18,6
Cesar,2020-06-18,24
Choco,2020-06-18,80
Cordoba,2020-06-18,68
Cundinamarca,2020-06-18,66
Guainia,2020-06-18,0
Guaviare,2020-06-18,3
Huila,2020-06-18,4
La guajira,2020-06-18,3
Magdalena,2020-06-18,93
Meta,2020-06-18,6
Narino,2020-06-18,154
Norte de santander,2020-06-18,19
Putumayo,2020-06-18,0
Quindio,2020-06-18,8
Risaralda,2020-06-18,51
Santander,2020-06-18,27
Sucre,2020-06-18,106
Tolima,2020-06-18,33
Valle del cauca,2020-06-18,273
Vaupes,2020-06-18,0
Vichada,2020-06-18,0
Amazonas,2020-06-19,8
Antioquia,2020-06-19,159
Arauca,2020-06-19,2
Archipielago de san andres providencia y santa catalina,2020-06-19,3
Atlantico,2020-06-19,732
Bogota,2020-06-19,1041
Bolivar,2020-06-19,422
Boyaca,2020-06-19,24
Caldas,2020-06-19,4
Caqueta,2020-06-19,0
Casanare,2020-06-19,10
Cauca,2020-06-19,17
Cesar,2020-06-19,14
Choco,2020-06-19,32
Cordoba,2020-06-19,28
Cundinamarca,2020-06-19,60
Guainia,2020-06-19,0
Guaviare,2020-06-19,1
Huila,2020-06-19,2
La guajira,2020-06-19,9
Magdalena,2020-06-19,31
Meta,2020-06-19,19
Narino,2020-06-19,93
Norte de santander,2020-06-19,18
Putumayo,2020-06-19,0
Quindio,2020-06-19,3
Risaralda,2020-06-19,13
Santander,2020-06-19,18
Sucre,2020-06-19,43
Tolima,2020-06-19,10
Valle del cauca,2020-06-19,243
Vaupes,2020-06-19,0
Vichada,2020-06-19,0
Amazonas,2020-06-20,0
Antioquia,2020-06-20,96
Arauca,2020-06-20,2
Archipielago de san andres providencia y santa catalina,2020-06-20,0
Atlantico,2020-06-20,882
Bogota,2020-06-20,527
Bolivar,2020-06-20,241
Boyaca,2020-06-20,5
Caldas,2020-06-20,5
Caqueta,2020-06-20,0
Casanare,2020-06-20,1
Cauca,2020-06-20,13
Cesar,2020-06-20,65
Choco,2020-06-20,19
Cordoba,2020-06-20,16
Cundinamarca,2020-06-20,48
Guainia,2020-06-20,0
Guaviare,2020-06-20,1
Huila,2020-06-20,6
La guajira,2020-06-20,15
Magdalena,2020-06-20,49
Meta,2020-06-20,11
Narino,2020-06-20,26
Norte de santander,2020-06-20,24
Putumayo,2020-06-20,2
Quindio,2020-06-20,3
Risaralda,2020-06-20,15
Santander,2020-06-20,21
Sucre,2020-06-20,48
Tolima,2020-06-20,14
Valle del cauca,2020-06-20,202
Vaupes,2020-06-20,0
Vichada,2020-06-20,0
Amazonas,2020-06-21,12
Antioquia,2020-06-21,171
Arauca,2020-06-21,6
Archipielago de san andres providencia y santa catalina,2020-06-21,0
Atlantico,2020-06-21,722
Bogota,2020-06-21,942
Bolivar,2020-06-21,265
Boyaca,2020-06-21,7
Caldas,2020-06-21,2
Caqueta,2020-06-21,0
Casanare,2020-06-21,3
Cauca,2020-06-21,7
Cesar,2020-06-21,8
Choco,2020-06-21,10
Cordoba,2020-06-21,17
Cundinamarca,2020-06-21,33
Guainia,2020-06-21,7
Guaviare,2020-06-21,0
Huila,2020-06-21,13
La guajira,2020-06-21,24
Magdalena,2020-06-21,78
Meta,2020-06-21,33
Narino,2020-06-21,130
Norte de santander,2020-06-21,19
Putumayo,2020-06-21,0
Quindio,2020-06-21,1
Risaralda,2020-06-21,9
Santander,2020-06-21,99
Sucre,2020-06-21,41
Tolima,2020-06-21,69
Valle del cauca,2020-06-21,291
Vaupes,2020-06-21,0
Vichada,2020-06-21,0
Amazonas,2020-06-22,0
Antioquia,2020-06-22,87
Arauca,2020-06-22,9
Archipielago de san andres providencia y santa catalina,2020-06-22,0
Atlantico,2020-06-22,751
Bogota,2020-06-22,832
Bolivar,2020-06-22,311
Boyaca,2020-06-22,5
Caldas,2020-06-22,13
Caqueta,2020-06-22,0
Casanare,2020-06-22,2
Cauca,2020-06-22,6
Cesar,2020-06-22,29
Choco,2020-06-22,29
Cordoba,2020-06-22,17
Cundinamarca,2020-06-22,40
Guainia,2020-06-22,0
Guaviare,2020-06-22,0
Huila,2020-06-22,3
La guajira,2020-06-22,9
Magdalena,2020-06-22,21
Meta,2020-06-22,5
Narino,2020-06-22,57
Norte de santander,2020-06-22,4
Putumayo,2020-06-22,0
Quindio,2020-06-22,3
Risaralda,2020-06-22,3
Santander,2020-06-22,22
Sucre,2020-06-22,58
Tolima,2020-06-22,77
Valle del cauca,2020-06-22,137
Vaupes,2020-06-22,1
Vichada,2020-06-22,0
Amazonas,2020-06-23,7
Antioquia,2020-06-23,90
Arauca,2020-06-23,2
Archipielago de san andres providencia y santa catalina,2020-06-23,0
Atlantico,2020-06-23,641
Bogota,2020-06-23,868
Bolivar,2020-06-23,170
Boyaca,2020-06-23,5
Caldas,2020-06-23,6
Caqueta,2020-06-23,0
Casanare,2020-06-23,1
Cauca,2020-06-23,15
Cesar,2020-06-23,3
Choco,2020-06-23,19
Cordoba,2020-06-23,9
Cundinamarca,2020-06-23,93
Guainia,2020-06-23,0
Guaviare,2020-06-23,0
Huila,2020-06-23,4
La guajira,2020-06-23,8
Magdalena,2020-06-23,28
Meta,2020-06-23,31
Narino,2020-06-23,33
Norte de santander,2020-06-23,8
Putumayo,2020-06-23,2
Quindio,2020-06-23,1
Risaralda,2020-06-23,12
Santander,2020-06-23,10
Sucre,2020-06-23,54
Tolima,2020-06-23,15
Valle del cauca,2020-06-23,254
Vaupes,2020-06-23,0
Vichada,2020-06-23,0
Amazonas,2020-06-24,9
Antioquia,2020-06-24,142
Arauca,2020-06-24,4
Archipielago de san andres providencia y santa catalina,2020-06-24,0
Atlantico,2020-06-24,1091
Bogota,2020-06-24,960
Bolivar,2020-06-24,241
Boyaca,2020-06-24,16
Caldas,2020-06-24,1
Caqueta,2020-06-24,0
Casanare,2020-06-24,3
Cauca,2020-06-24,20
Cesar,2020-06-24,52
Choco,2020-06-24,118
Cordoba,2020-06-24,18
Cundinamarca,2020-06-24,56
Guainia,2020-06-24,0
Guaviare,2020-06-24,0
Huila,2020-06-24,1
La guajira,2020-06-24,20
Magdalena,2020-06-24,66
Meta,2020-06-24,22
Narino,2020-06-24,99
Norte de santander,2020-06-24,15
Putumayo,2020-06-24,0
Quindio,2020-06-24,2
Risaralda,2020-06-24,27
Santander,2020-06-24,11
Sucre,2020-06-24,85
Tolima,2020-06-24,35
Valle del cauca,2020-06-24,427
Vaupes,2020-06-24,0
Vichada,2020-06-24,0
Amazonas,2020-06-25,8
Antioquia,2020-06-25,222
Arauca,2020-06-25,0
Archipielago de san andres providencia y santa catalina,2020-06-25,0
Atlantico,2020-06-25,621
Bogota,2020-06-25,1273
Bolivar,2020-06-25,395
Boyaca,2020-06-25,5
Caldas,2020-06-25,2
Caqueta,2020-06-25,0
Casanare,2020-06-25,3
Cauca,2020-06-25,16
Cesar,2020-06-25,6
Choco,2020-06-25,87
Cordoba,2020-06-25,37
Cundinamarca,2020-06-25,93
Guainia,2020-06-25,0
Guaviare,2020-06-25,0
Huila,2020-06-25,3
La guajira,2020-06-25,11
Magdalena,2020-06-25,99
Meta,2020-06-25,14
Narino,2020-06-25,72
Norte de santander,2020-06-25,8
Putumayo,2020-06-25,0
Quindio,2020-06-25,4
Risaralda,2020-06-25,11
Santander,2020-06-25,27
Sucre,2020-06-25,113
Tolima,2020-06-25,8
Valle del cauca,2020-06-25,348
Vaupes,2020-06-25,0
Vichada,2020-06-25,0
Amazonas,2020-06-26,13
Antioquia,2020-06-26,189
Arauca,2020-06-26,0
Archipielago de san andres providencia y santa catalina,2020-06-26,0
Atlantico,2020-06-26,1657
Bogota,2020-06-26,901
Bolivar,2020-06-26,287
Boyaca,2020-06-26,8
Caldas,2020-06-26,3
Caqueta,2020-06-26,0
Casanare,2020-06-26,0
Cauca,2020-06-26,11
Cesar,2020-06-26,20
Choco,2020-06-26,86
Cordoba,2020-06-26,24
Cundinamarca,2020-06-26,105
Guainia,2020-06-26,0
Guaviare,2020-06-26,0
Huila,2020-06-26,4
La guajira,2020-06-26,12
Magdalena,2020-06-26,56
Meta,2020-06-26,11
Narino,2020-06-26,92
Norte de santander,2020-06-26,10
Putumayo,2020-06-26,0
Quindio,2020-06-26,3
Risaralda,2020-06-26,21
Santander,2020-06-26,29
Sucre,2020-06-26,48
Tolima,2020-06-26,4
Valle del cauca,2020-06-26,249
Vaupes,2020-06-26,0
Vichada,2020-06-26,0
Amazonas,2020-06-27,11
Antioquia,2020-06-27,208
Arauca,2020-06-27,0
Archipielago de san andres providencia y santa catalina,2020-06-27,0
Atlantico,2020-06-27,946
Bogota,2020-06-27,1575
Bolivar,2020-06-27,423
Boyaca,2020-06-27,11
Caldas,2020-06-27,1
Caqueta,2020-06-27,5
Casanare,2020-06-27,1
Cauca,2020-06-27,9
Cesar,2020-06-27,73
Choco,2020-06-27,70
Cordoba,2020-06-27,37
Cundinamarca,2020-06-27,58
Guainia,2020-06-27,0
Guaviare,2020-06-27,0
Huila,2020-06-27,1
La guajira,2020-06-27,28
Magdalena,2020-06-27,85
Meta,2020-06-27,18
Narino,2020-06-27,63
Norte de santander,2020-06-27,17
Putumayo,2020-06-27,0
Quindio,2020-06-27,1
Risaralda,2020-06-27,8
Santander,2020-06-27,54
Sucre,2020-06-27,81
Tolima,2020-06-27,25
Valle del cauca,2020-06-27,340
Vaupes,2020-06-27,0
Vichada,2020-06-27,0
Amazonas,2020-06-28,7
Antioquia,2020-06-28,216
Arauca,2020-06-28,0
Archipielago de san andres providencia y santa catalina,2020-06-28,0
Atlantico,2020-06-28,857
Bogota,2020-06-28,812
Bolivar,2020-06-28,232
Boyaca,2020-06-28,4
Caldas,2020-06-28,10
Caqueta,2020-06-28,4
Casanare,2020-06-28,1
Cauca,2020-06-28,21
Cesar,2020-06-28,62
Choco,2020-06-28,30
Cordoba,2020-06-28,61
Cundinamarca,2020-06-28,84
Guainia,2020-06-28,0
Guaviare,2020-06-28,0
Huila,2020-06-28,3
La guajira,2020-06-28,74
Magdalena,2020-06-28,128
Meta,2020-06-28,21
Narino,2020-06-28,144
Norte de santander,2020-06-28,19
Putumayo,2020-06-28,3
Quindio,2020-06-28,0
Risaralda,2020-06-28,6
Santander,2020-06-28,17
Sucre,2020-06-28,115
Tolima,2020-06-28,57
Valle del cauca,2020-06-28,190
Vaupes,2020-06-28,0
Vichada,2020-06-28,0
Amazonas,2020-06-29,17
Antioquia,2020-06-29,143
Arauca,2020-06-29,0
Archipielago de san andres providencia y santa catalina,2020-06-29,0
Atlantico,2020-06-29,731
Bogota,2020-06-29,1393
Bolivar,2020-06-29,156
Boyaca,2020-06-29,3
Caldas,2020-06-29,4
Caqueta,2020-06-29,0
