region,time
Baden-Württemberg,18
Bayern,21.5
Berlin,8.8
Brandenburg,13.6
Bremen,8.9
Hamburg,16
Hessen,16.1
Mecklenburg-Vorpommern,14.9
Niedersachsen,15.8
Nordrhein-Westfalen,18.4
Rheinland-Pfalz,19
Saarland,14
Sachsen,18.6
Sachsen-Anhalt,20
Schleswig-Holstein,20.6
Thüringen,18
